plot_date,full_avg,full_max,full_min,2020,2021,2022
2021-01-01,75.703,96.91,60.74,96.91,73.09,54.17999999999999
2021-01-02,75.395,96.53,60.56,96.53,72.57,54.44
2021-01-03,75.029,96.28,60.15999999999999,96.28,71.97,54.50000000000001
2021-01-04,74.675,96.12,59.46,96.12,71.06,54.35
2021-01-05,74.279,95.94,58.79,95.94,70.03,53.849999999999994
2021-01-06,73.904,95.63,58.31000000000001,95.63,69.06,53.29999999999999
2021-01-07,73.509,95.25,57.989999999999995,95.25,67.87,52.72
2021-01-08,73.191,94.86,58.08,94.86,66.67,52.31
2021-01-09,72.865,94.69,58.269999999999996,94.69,65.57,51.9
2021-01-10,72.496,94.54,57.89,94.54,64.51,50.96000000000001
2021-01-11,72.097,94.34,57.47,94.34,63.31,49.95
2021-01-12,71.728,94.09,56.91,94.09,62.09,49.02
2021-01-13,71.385,93.83,56.09,93.83,60.919999999999995,48.17
2021-01-14,71.02,93.64,55.50999999999999,93.64,59.650000000000006,47.32
2021-01-15,70.602,93.43,54.83,93.43,58.22999999999999,46.76
2021-01-16,70.14699999999999,93.19,53.75,93.19,57.07,46.35
2021-01-17,69.573,92.92,52.55,92.92,56.04,45.72
2021-01-18,68.93,92.64,51.25999999999999,92.64,54.85,44.89
2021-01-19,68.298,92.26,50.09,92.26,53.90999999999999,44.21
2021-01-20,67.639,91.6,49,91.6,53.21,43.43
2021-01-21,66.973,90.91,48.26,90.91,52.75,42.52
2021-01-22,66.343,90.27,47.46,90.27,52.12,41.91
2021-01-23,65.735,89.56,46.32,89.56,51.43,41.36
2021-01-24,65.153,88.86,45.17,88.86,50.77,40.45
2021-01-25,64.66,88.37,43.93,88.37,49.69,39.53
2021-01-26,64.179,87.98,42.87,87.98,48.69,38.66
2021-01-27,63.734,87.59,41.98,87.59,47.73,38.06
2021-01-28,63.291,87.02,41.38,87.02,47.03,37.39
2021-01-29,62.857,86.51,40.84,86.51,46.43,37.14
2021-01-30,62.346000000000004,86.04,40.19,86.04,45.77,36.88
2021-01-31,61.849,85.88,39.52,85.88,44.99,36.29
2021-02-01,61.36699999999999,85.84,39.04,85.84,44.18,35.89
2021-02-02,60.844,85.77,38.57,85.77,43.58,35.47
2021-02-03,60.26200000000001,85.46,38.2,85.46,43.24,35.17
2021-02-04,59.695,85.08,37.97,85.08,42.78,34.94
2021-02-05,59.114,84.59,37.69,84.59,42.34,34.84
2021-02-06,58.496,83.83,37.11,83.83,41.95,34.73
2021-02-07,57.882999999999996,83.39,36.5,83.39,41.38,34.36
2021-02-08,57.286,83.04,35.8,83.04,40.39,34.09
2021-02-09,56.67100000000001,82.91,34.83,82.91,39.21,33.85
2021-02-10,56.13,82.69,33.83,82.69,37.96,33.38
2021-02-11,55.566,82.38,33.28,82.38,36.87,32.95
2021-02-12,55.03800000000001,81.98,33.07,81.98,35.77,32.63
2021-02-13,54.495000000000005,81.59,32.4,81.59,34.82,32.47
2021-02-14,54.003,81.34,31.78,81.34,33.99,32.25
2021-02-15,53.66000000000001,81.29,31.489999999999995,81.29,33.1,31.97
2021-02-16,53.300000000000004,81.31,31.1,81.31,32.63,31.7
2021-02-17,52.961999999999996,81.13,30.680000000000003,81.13,32.43,31.5
2021-02-18,52.614,80.89,30.45,80.89,32.23,31.269999999999996
2021-02-19,52.44,80.68,30.23,80.68,32.05,31.010000000000005
2021-02-20,52.049,80.48,29.960000000000004,80.48,31.980000000000004,30.85
2021-02-21,51.33800000000001,80.28,29.78,80.28,31.95,30.510000000000005
2021-02-22,50.903,80.22,29.59,80.22,31.75,30.12
2021-02-23,50.483,80.18,29.38,80.18,31.65,29.830000000000002
2021-02-24,50.027,79.95,29.07,79.95,31.670000000000005,29.7
2021-02-25,49.592,79.78,28.850000000000005,79.78,31.61,29.359999999999996
2021-02-26,49.162,79.36,28.689999999999998,79.36,31.58,29.080000000000002
2021-02-27,48.723,78.75,28.37,78.75,31.540000000000003,28.89
2021-02-28,48.276,78.17,26.88,78.17,31.42,28.4
2021-03-01,47.862,77.97,25.56,77.97,31.05,27.76
2021-03-02,47.492,77.38,24.21,77.38,30.760000000000005,27.229999999999997
2021-03-03,47.168,77.12,23.31,77.12,30.4,26.77
2021-03-04,46.866,76.8,22.71,76.8,30.099999999999998,26.33
2021-03-05,46.574,76.41,22.13,76.41,29.710000000000004,26.06
2021-03-06,46.346000000000004,76.18,21.57,76.18,29.42,25.78
2021-03-07,46.038,76,21.04,76,29.13,25.19
2021-03-08,45.833,75.94,20.48,75.94,28.64,24.7
2021-03-09,45.684,75.71,20.23,75.71,28.15,24.35
2021-03-10,45.584,75.56,20.12,75.56,27.91,24.44
2021-03-11,45.439,75.51,20.09,75.51,27.779999999999998,24.41
2021-03-12,45.264,75.48,19.92,75.48,27.73,24.49
2021-03-13,45.092,75.31,19.71,75.31,27.699999999999996,24.65
2021-03-14,44.9,75.12,19.39,75.12,27.560000000000002,24.55
2021-03-15,44.772,75.06,19.2,75.06,27.42,24.4
2021-03-16,44.68,74.94,18.95,74.94,27.24,24.36
2021-03-17,44.577999999999996,74.83,18.54,74.83,27,24.27
2021-03-18,44.425,74.76,18.06,74.76,26.669999999999998,24.19
2021-03-19,44.243,74.59,17.36,74.59,26.450000000000003,24.41
2021-03-20,44.065,74.44,16.74,74.44,26.31,24.57
2021-03-21,43.967,74.28,16.11,74.28,26.25,24.52
2021-03-22,43.83,74.12,15.54,74.12,25.97,24.57
2021-03-23,43.641,73.72,15.18,73.72,25.77,24.69
2021-03-24,43.596000000000004,73.39,15.03,73.39,25.679999999999996,25.08
2021-03-25,43.436,73.03,14.93,73.03,25.650000000000002,25.22
2021-03-26,43.342999999999996,72.7,14.75,72.7,25.78,25.629999999999995
2021-03-27,43.258,72.55,14.6,72.55,25.94,25.980000000000004
2021-03-28,43.249,72.59,14.469999999999999,72.59,26.090000000000003,26.19
