country,plot_date,2015,2016,2017,2018,2019,2020,2021,2022
EU,2021-01-01,-1.016490141158577,-0.3088039397731279,-0.7692983998593306,-0.4565308048550154,-0.3417593528817098,-0.23253949162055365,-0.5879360054270921,-0.1727712508638457
EU,2021-01-02,-1.0569120926484765,-0.3684732654424816,-0.8062729809950042,-0.4806738253257614,-0.36119396927820624,-0.31506188715642036,-0.6577575585252626,-0.08520382352157352
EU,2021-01-03,-1.0587321729578214,-0.4226697283127634,-0.8753517038095793,-0.4652708541043715,-0.40119748284218604,-0.35637114200018916,-0.7250801404365737,-0.042638241172543445
EU,2021-01-04,-1.0451761102603263,-0.4897659326980053,-0.9258842081549812,-0.436282693377843,-0.44166359955835066,-0.3883935073551892,-0.7495963711847464,-0.04798848276414969
EU,2021-01-05,-1.034936356250249,-0.5475462953468901,-0.9959298756224699,-0.4180732857877567,-0.4826453070445491,-0.4159017432131762,-0.8152910647197809,-0.1226961137339555
EU,2021-01-06,-1.0359858480423756,-0.5959254371494582,-1.079442364667782,-0.43778905302858107,-0.5345165617583358,-0.45352953651890404,-0.8727570923716677,-0.2189878488449759
EU,2021-01-07,-1.0468308676845228,-0.6721015620137938,-1.1376564277588153,-0.5051074480799334,-0.6017096854510684,-0.5014831445943169,-0.9690762261177932,-0.393437357813875
EU,2021-01-08,-0.7305535040619593,-0.724683081678279,-1.1343087292454257,-0.6005937946195861,-0.6721496263515925,-0.5484822031525449,-1.0640836946576915,-0.5696474634565907
EU,2021-01-09,-0.7258761787947487,-0.7320767418377616,-1.247090123046235,-0.6657850335172522,-0.7040181573638171,-0.5432262338522675,-1.1298072090545341,-0.6864122797535344
EU,2021-01-10,-0.7089038321315688,-0.7205221666525596,-1.2700550838284363,-0.7138594316669078,-0.711126161400244,-0.5511889695597127,-1.154917549460155,-0.8544217687074696
EU,2021-01-11,-0.7058055566888433,-0.6980020491803018,-1.2937020343525285,-0.7721650676222547,-0.6757188838914407,-0.5642906180405527,-1.228066566556274,-0.990778351081345
EU,2021-01-12,-0.6923329772372311,-0.670664861030501,-1.2761020881670637,-0.8317606765918972,-0.6481243025152406,-0.5725447932102945,-1.2558313895368323,-0.7817047817047729
EU,2021-01-13,-0.6764724135790989,-0.6643727412408929,-1.2525939445458212,-0.8833756225918643,-0.6048299995679907,-0.5707607885644617,-1.282348722924076,-1.1929706925935202
EU,2021-01-14,-0.672748479546792,-0.677530390832648,-1.2406319627303986,-0.9125817768085631,-0.6172034598165843,-0.5689270444750982,-1.301143040273478,-1.2582706554317813
