date,nordstream,other,turkstream,ukraine,yamal
2021-12-01,175258.2173,17945.2656,47863.2878,15801.619999999999,56008.5777
2021-12-02,175769.11,20373.511000000002,47471.736399999994,15623.223899999999,55852.618599999994
2021-12-03,175615.6795,20941.485,47516.1189,15670.388200000001,55770.4732
2021-12-04,175337.7781,20577.3299,47545.7028,15744.600300000002,55759.478
2021-12-05,175511.8177,21636.4667,46716.5886,16067.596699999998,55744.18800000001
2021-12-06,176021.4818,24350.430399999997,45839.262500000004,16794.550799999997,55972.64689999999
2021-12-07,175699.1967,24244.759,47773.7331,18575.4045,56026.3421
2021-12-08,175601.8397,24493.452,47801.1206,19803.5868,56054.812600000005
2021-12-09,175449.12920000002,23794.701800000003,47439.1722,19765.9688,56000.7396
2021-12-10,175699.9382,21113.0277,47339.365,21022.1251,55986.5365
2021-12-11,175839.9623,20489.123499999998,46949.2258,17634.348299999998,55925.501800000005
2021-12-12,175533.2769,20136.7784,46089.3494,17983.817600000002,55962.6983
2021-12-13,175712.2639,17976.528299999998,47544.208099999996,20469.8482,56048.0922
2021-12-14,175396.7912,19617.434100000002,47796.6275,18712.5389,55981.7809
2021-12-15,174535.1004,18092.3956,47828.9197,23496.4036,55938.234899999996
2021-12-16,176300.6322,18174.894,47688.261699999995,21102.4234,55898.0828
2021-12-17,175728.5613,19228.079400000002,47601.701400000005,28047.7355,51551.626
2021-12-18,175259.278,17519.1505,47182.0678,17522.3489,33405.0247
2021-12-19,176296.2821,18846.9865,47412.5875,17048.3428,30930.314599999998
2021-12-20,175580.7045,27295.862399999998,47892.03999999999,19755.2147,27661.289
2021-12-21,175390.5373,31238.008,48002.7178,19390.5394,24566.295
2021-12-22,175602.8523,30636.666,48006.0233,22753.6597,21318.6843
2021-12-23,169448.72030000002,26608.0309,43585.9892,23561.379,24256.791
2021-12-24,175027.2376,25166.6246,42162.904200000004,17126.6163,26525.617299999998
2021-12-25,175222.5839,24882.709899999998,45129.5758,15729.1061,25033.8744
2021-12-26,177136.0235,25226.777000000002,40434.6428,16314.3315,24498.5163
2021-12-27,174633.43850000002,25905.1044,43719.4761,16901.7084,23685.141
2021-12-28,176299.58849999998,25445.9045,44638.71,15192.1323,22861.0256
2021-12-29,175715.616,25382.2113,44812.4914,15298.8402,22671.4417
2021-12-30,175761.972,19701.8056,42434.801900000006,14119.0775,23889.9492
2021-12-31,175913.8547,18654.0963,36854.8761,12123.167800000001,15585.1011
2022-01-01,164053.54460000002,11563.1062,24974.2261,13152.304399999999,16023.8366
2022-01-02,165333.7775,11344.4346,26630.7636,13479.4082,10578.7643
2022-01-03,163382.9561,10760.9798,27975.6369,14295.2313,9766.7766
2022-01-04,163010.6176,11406.9142,29236.060800000003,9167.7732,5591.3651
2022-01-05,165306.8264,11400.884199999999,29200.023599999997,11119.2006,22915.9686
2022-01-06,163912.9488,13256.9004,29097.171100000003,6915.8838000000005,5675.3332
2022-01-07,165318.28730000003,13205.462700000002,29943.3286,10030.294699999999,5659.9825
2022-01-08,162801.1862,12942.1711,28713.2433,7444.313,5168.904100000001
2022-01-09,162777.0552,11613.9369,28588.215500000002,7323.4798,5161.1522
