date,plot_date,Beperkte Russische import,current gas in storage,Geen Russische import,Gemiddelde Russische import,full_avg,full_min,full_max
2021-01-01T00:00:00Z,2021-01-01,NA,819.9172,NA,NA,774.7804,707.1136,986.6533
2021-01-02T00:00:00Z,2021-01-02,NA,814.0971,NA,NA,768.5682333333334,692.9115,980.4691
2021-01-03T00:00:00Z,2021-01-03,NA,806.2976,NA,NA,763.3630333333333,684.9832,976.006
2021-01-04T00:00:00Z,2021-01-04,NA,799.49,NA,NA,758.06735,677.3529,971.8079
2021-01-05T00:00:00Z,2021-01-05,NA,790.4338,NA,NA,752.4133333333333,668.218,967.3687
2021-01-06T00:00:00Z,2021-01-06,NA,781.7356,NA,NA,746.65405,658.5549,961.4909
2021-01-07T00:00:00Z,2021-01-07,NA,771.9502,NA,NA,740.7032,650.9148,955.2423
2021-01-08T00:00:00Z,2021-01-08,NA,760.3412,NA,NA,734.68015,643.3873,949.2995
2021-01-09T00:00:00Z,2021-01-09,NA,751.5872,NA,NA,728.91175,634.7756,943.6987
2021-01-10T00:00:00Z,2021-01-10,NA,743.0749,NA,NA,723.5351166666667,626.331,938.9032
2021-01-11T00:00:00Z,2021-01-11,NA,733.0774,NA,NA,718.2363833333334,618.3118,934.0702
2021-01-12T00:00:00Z,2021-01-12,NA,723.3202,NA,NA,713.09465,610.6395,929.3796
2021-01-13T00:00:00Z,2021-01-13,NA,714.0884,NA,NA,707.9953333333333,602.8249,923.728
2021-01-14T00:00:00Z,2021-01-14,NA,704.1893,NA,NA,701.5516,596.3683,917.8018
2021-01-15T00:00:00Z,2021-01-15,NA,693.5186,NA,NA,694.9301833333334,589.8935,911.8302
2021-01-16T00:00:00Z,2021-01-16,NA,684.0758,NA,NA,688.3528833333334,580.8988,905.6419
2021-01-17T00:00:00Z,2021-01-17,NA,675.0332,NA,NA,681.4455666666667,570.8069,899.4208
2021-01-18T00:00:00Z,2021-01-18,NA,664.722,NA,NA,673.9180166666666,560.6433,893.1871
2021-01-19T00:00:00Z,2021-01-19,NA,655.6997,NA,NA,666.0430333333334,550.5297,886.3932
2021-01-20T00:00:00Z,2021-01-20,NA,648.4003,NA,NA,658.3351666666667,541.0774,878.7891
2021-01-21T00:00:00Z,2021-01-21,NA,642.1176,NA,NA,650.6664166666667,533.5331,870.2242
2021-01-22T00:00:00Z,2021-01-22,NA,635.4053,NA,NA,642.7483833333333,525.6789,861.7639
2021-01-23T00:00:00Z,2021-01-23,NA,629.3609,NA,NA,634.2731333333334,516.0185,853.4732
2021-01-24T00:00:00Z,2021-01-24,NA,623.1079,NA,NA,627.8572666666666,506.5927,845.1529
2021-01-25T00:00:00Z,2021-01-25,NA,614.3575,NA,NA,620.9524666666666,497.1661,838.2949
2021-01-26T00:00:00Z,2021-01-26,NA,605.7782,NA,NA,614.6051333333334,487.7792,832.4043
2021-01-27T00:00:00Z,2021-01-27,NA,597.0953,NA,NA,608.6502666666667,479.2079,825.5111
2021-01-28T00:00:00Z,2021-01-28,NA,589.8421,NA,NA,602.6239333333333,473.1033,816.9846
2021-01-29T00:00:00Z,2021-01-29,NA,583.7933,NA,NA,596.4765,467.2321,809.8571
2021-01-30T00:00:00Z,2021-01-30,NA,578.143,NA,NA,590.415,460.539,804.44
2021-01-31T00:00:00Z,2021-01-31,NA,571.5814,NA,NA,584.65815,453.5348,799.484
2021-02-01T00:00:00Z,2021-02-01,NA,564.1887,NA,NA,579.7359166666666,448.4639,797.4388
2021-02-02T00:00:00Z,2021-02-02,NA,557.5812,NA,NA,574.6225166666667,443.5818,795.2225
2021-02-03T00:00:00Z,2021-02-03,NA,552.4033,NA,NA,569.2959500000001,439.416,791.1355
2021-02-04T00:00:00Z,2021-02-04,NA,546.6705,NA,NA,563.5875333333333,436.2415,786.0458
2021-02-05T00:00:00Z,2021-02-05,NA,541.3464,NA,NA,557.38145,432.8005,780.1518
2021-02-06T00:00:00Z,2021-02-06,NA,536.8626,NA,NA,550.0273333333333,426.9904,772.7831
2021-02-07T00:00:00Z,2021-02-07,NA,530.9465,NA,NA,544.5454,420.7775,767.1001
2021-02-08T00:00:00Z,2021-02-08,NA,521.7959,NA,NA,538.55425,413.8201,762.6219
2021-02-09T00:00:00Z,2021-02-09,NA,512.0273,NA,NA,532.7875666666666,405.7524,759.3974
2021-02-10T00:00:00Z,2021-02-10,NA,502.2021,NA,NA,527.3827166666666,397.5821,755.5563
2021-02-11T00:00:00Z,2021-02-11,NA,492.3072,NA,NA,521.6634166666666,391.5241,750.3517
2021-02-12T00:00:00Z,2021-02-12,NA,482.3023,NA,NA,515.92765,387.1576,744.8493
2021-02-13T00:00:00Z,2021-02-13,NA,472.7961,NA,NA,510.18235000000004,381.634,738.9921
2021-02-14T00:00:00Z,2021-02-14,NA,464.2634,NA,NA,505.0008833333333,375.3783,734.1587
