"plot_date","full_avg","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022"
2021-01-01,0.71901,0.7132,0.785,0.7231,0.6924,0.7296,0.6971,0.6286,0.6423,0.6978,0.881,0.7389,0.5354
2021-01-02,0.7156,0.71,0.7842,0.7191,0.6907,0.7248,0.6935,0.6251,0.639,0.6941,0.8755,0.7336,0.5365
2021-01-03,0.71132,0.705,0.7811,0.7151,0.6888,0.7207,0.6894,0.6179,0.6353,0.6884,0.8715,0.7266,0.5351
2021-01-04,0.707,0.6989,0.778,0.712,0.6873,0.7165,0.6837,0.611,0.6319,0.6829,0.8678,0.7204,0.5326
2021-01-05,0.70257,0.6932,0.775,0.7092,0.6858,0.7106,0.678,0.6028,0.6285,0.6788,0.8638,0.7121,0.5288
2021-01-06,0.69809,0.6882,0.7722,0.7062,0.6838,0.7047,0.6727,0.5941,0.6255,0.6749,0.8586,0.7042,0.525
2021-01-07,0.69352,0.6847,0.7697,0.7018,0.6814,0.6985,0.6673,0.5872,0.6216,0.67,0.853,0.6953,0.5197
2021-01-08,0.68902,0.6825,0.7673,0.6973,0.6788,0.6929,0.6623,0.5804,0.6155,0.6655,0.8477,0.6847,0.5154
2021-01-09,0.68454,0.6807,0.7636,0.6922,0.6764,0.6886,0.6586,0.5726,0.6096,0.6604,0.8427,0.6768,0.511
2021-01-10,0.68001,0.6769,0.7597,0.687,0.6736,0.6856,0.6553,0.565,0.604,0.6546,0.8384,0.6691,0.5038
2021-01-11,0.67557,0.6732,0.756,0.6815,0.6713,0.6818,0.6508,0.5578,0.5982,0.651,0.8341,0.6602,0.4966
2021-01-12,0.67131,0.6696,0.7522,0.677,0.669,0.6768,0.6467,0.5508,0.5926,0.6485,0.8299,0.6515,0.4893
2021-01-13,0.66694,0.6664,0.7485,0.6723,0.6651,0.672,0.642,0.5438,0.5877,0.6468,0.8248,0.6432,0.4822
2021-01-14,0.66195,0.6635,0.7453,0.6655,0.661,0.6661,0.6362,0.538,0.5829,0.6415,0.8195,0.6343,0.4752
2021-01-15,0.65636,0.662,0.7415,0.6583,0.6571,0.661,0.6301,0.5321,0.5763,0.631,0.8142,0.6247,0.4698
2021-01-16,0.65083,0.6607,0.7357,0.6503,0.6534,0.6554,0.6246,0.524,0.57,0.6256,0.8086,0.6163,0.4647
2021-01-17,0.64482,0.6568,0.7294,0.6418,0.65,0.6504,0.6188,0.5149,0.5631,0.6199,0.8031,0.6083,0.4583
2021-01-18,0.63861,0.6529,0.7233,0.6339,0.6475,0.6452,0.6104,0.5057,0.5564,0.6133,0.7975,0.599,0.4515
2021-01-19,0.63246,0.6487,0.7181,0.6277,0.6451,0.6381,0.602,0.4966,0.5495,0.6073,0.7915,0.591,0.4453
2021-01-20,0.62638,0.6444,0.7139,0.6222,0.6409,0.6308,0.5939,0.4881,0.5439,0.601,0.7847,0.5844,0.4388
2021-01-21,0.6202,0.6395,0.7111,0.6155,0.6363,0.6235,0.5858,0.4813,0.5388,0.5932,0.777,0.5788,0.432
2021-01-22,0.61403,0.6352,0.7086,0.6088,0.6316,0.6161,0.5783,0.4743,0.5327,0.5852,0.7695,0.5728,0.4262
2021-01-23,0.60763,0.6315,0.7047,0.6015,0.6267,0.6086,0.5728,0.4656,0.5274,0.5754,0.7621,0.5674,0.4207
2021-01-24,0.6016,0.6264,0.7002,0.594,0.6216,0.6022,0.5684,0.4571,0.5229,0.5686,0.7546,0.5617,0.4138
2021-01-25,0.5958,0.6216,0.6959,0.5866,0.6182,0.5961,0.5638,0.4486,0.5173,0.5614,0.7485,0.5538,0.4068
2021-01-26,0.59035,0.6163,0.6911,0.5807,0.6148,0.589,0.5598,0.4401,0.5116,0.5569,0.7432,0.546,0.3999
2021-01-27,0.585,0.6111,0.6864,0.5754,0.6095,0.5819,0.5557,0.4324,0.5076,0.5529,0.7371,0.5383,0.394
2021-01-28,0.57948,0.6053,0.6823,0.5687,0.6042,0.5749,0.5517,0.4269,0.5047,0.5466,0.7295,0.5318,0.3884
2021-01-29,0.57409,0.6004,0.6782,0.5636,0.5985,0.5673,0.5481,0.4216,0.5002,0.5399,0.7231,0.5264,0.3848
2021-01-30,0.56865,0.5956,0.6721,0.5592,0.5923,0.56,0.5451,0.4156,0.495,0.5327,0.7189,0.5214,0.3813
2021-01-31,0.56309,0.5894,0.6643,0.5552,0.5872,0.5538,0.5426,0.4092,0.4897,0.5257,0.7138,0.5155,0.3737
2021-02-01,0.55809,0.5828,0.6557,0.551,0.584,0.5475,0.5396,0.4045,0.4841,0.5197,0.712,0.5088,0.3713
2021-02-02,0.55302,0.5767,0.6462,0.5475,0.581,0.5395,0.5362,0.4001,0.4782,0.5148,0.71,0.5029,0.367
2021-02-03,0.54792,0.5715,0.636,0.5437,0.5766,0.5311,0.5343,0.3963,0.473,0.5103,0.7064,0.4977,0.3629
2021-02-04,0.54242,0.5677,0.6259,0.5387,0.5724,0.5227,0.53,0.3935,0.4674,0.5041,0.7018,0.4925,0.3595
2021-02-05,0.53692,0.5658,0.6165,0.5332,0.5685,0.5143,0.5263,0.3904,0.4593,0.4983,0.6966,0.4877,0.3571
2021-02-06,0.53099,0.5642,0.6063,0.5278,0.5649,0.5058,0.5238,0.3851,0.4505,0.4915,0.69,0.4837,0.3548
2021-02-07,0.52546,0.5613,0.5959,0.5217,0.5618,0.498,0.5214,0.3795,0.4416,0.4885,0.6849,0.4783,0.3509
2021-02-08,0.51996,0.5584,0.5858,0.5155,0.5592,0.491,0.5181,0.3732,0.4331,0.4844,0.6809,0.4701,0.3472
2021-02-09,0.51466,0.5552,0.5759,0.51,0.5567,0.4832,0.5146,0.366,0.4252,0.4817,0.6781,0.4613,0.3437
2021-02-10,0.50943,0.5518,0.5665,0.5047,0.5527,0.4759,0.5107,0.3586,0.4198,0.479,0.6746,0.4524,0.3396
2021-02-11,0.50409,0.5488,0.5578,0.4977,0.5488,0.4685,0.5064,0.3531,0.415,0.4739,0.6709,0.4435,0.3355
2021-02-12,0.49869,0.5464,0.5497,0.4907,0.5451,0.4611,0.5025,0.3492,0.4078,0.4693,0.6651,0.4345,0.332
2021-02-13,0.49327,0.5442,0.5407,0.4833,0.5413,0.4545,0.4995,0.3442,0.4005,0.4647,0.6598,0.426,0.3295
2021-02-14,0.48826,0.5403,0.5334,0.4765,0.538,0.4489,0.4968,0.3386,0.3938,0.4608,0.6555,0.4183,0.3259
2021-02-15,0.48396,0.5364,0.5278,0.4711,0.5357,0.4436,0.4923,0.3342,0.3874,0.4576,0.6535,0.4105,NA
2021-02-16,0.47989,0.532,0.523,0.4671,0.5334,0.4369,0.4872,0.3298,0.3815,0.456,0.652,0.4044,NA
2021-02-17,0.47559,0.5281,0.5194,0.464,0.5301,0.43,0.4818,0.3258,0.3768,0.4511,0.6488,0.3997,NA
2021-02-18,0.47193,0.5252,0.5171,0.4584,0.527,0.4228,0.4766,0.3232,0.3718,0.4522,0.645,0.3952,NA
2021-02-19,0.46812,0.5234,0.5148,0.4546,0.5244,0.4159,0.4723,0.3206,0.3649,0.4495,0.6408,0.3909,NA
2021-02-20,0.46383,0.5208,0.5105,0.448,0.5218,0.4092,0.4696,0.3164,0.3581,0.4466,0.6373,0.3884,NA
2021-02-21,0.45873,0.516,0.5067,0.4407,0.5194,0.4034,0.4679,0.3136,0.3507,0.4353,0.6336,0.3865,NA
2021-02-22,0.45478,0.5103,0.5034,0.433,0.5177,0.3982,0.4653,0.3109,0.343,0.4346,0.6314,0.3827,NA
2021-02-23,0.45077,0.5045,0.5006,0.4262,0.5161,0.3924,0.4622,0.3078,0.3354,0.4328,0.6297,0.3798,NA
2021-02-24,0.44663,0.4987,0.4985,0.42,0.5137,0.3866,0.4584,0.304,0.3287,0.431,0.6267,0.378,NA
2021-02-25,0.4425,0.494,0.4975,0.413,0.5111,0.381,0.454,0.3011,0.3214,0.4283,0.6236,0.3756,NA
2021-02-26,0.43835,0.4907,0.4965,0.4066,0.5085,0.3758,0.4495,0.2992,0.3116,0.4266,0.6185,0.3731,NA
2021-02-27,0.43405,0.4879,0.4939,0.4005,0.5057,0.3705,0.4462,0.2964,0.3015,0.4247,0.6132,0.3712,NA
2021-02-28,0.42986,0.4849,0.4913,0.3952,0.5029,0.3659,0.4432,0.2929,0.2908,0.4228,0.6087,0.3687,NA
