plot_date,withdrawal_min,withdrawal_max,withdrawal_avg,2015,2016,2017,2018,2019,2020,2021,2022
2021-01-01,2910.34,6348.61,4305.111666666667,5389.25,3444.19,6348.61,3118.42,2910.34,4619.86,5630.76,1899.36
2021-01-02,7166.360000000001,13667.31,9548.303333333333,10621.66,7541.84,13667.31,7166.360000000001,7901.84,10390.81,11859.77,4277.3099999999995
2021-01-03,11636.49,21743.52,15050.633333333333,15227,12113.67,21743.52,11636.49,14382.85,15200.27,18321.71,7466.33
2021-01-04,15839.7,29559.4,20669.985,19735.96,18171.68,29559.4,15839.7,20923.190000000002,19789.98,26907.63,11428.71
2021-01-05,20030.34,38930.59,26607.44,25984.67,24377.56,38930.59,20030.34,25812.48,24509,36118.61,16273.25
2021-01-06,23525.3,48749.81,32615.59,32148.27,30068.39,48749.81,23525.3,30649.5,30552.27,45415.659999999996,21986.54
2021-01-07,28005,57666.41,38979.13166666667,38659.24,35952.61,57666.41,28005,36413.45,37178.08,55290.58,28096.37
2021-01-08,34888.58,65752.33,45367.778333333335,45127,41382.9,65752.33,34888.58,41690.67,43365.19,65231.549999999996,33232.18
2021-01-09,41495.54,74716.28,51556.746666666666,49843.89,45546.84,74716.28,41495.54,48500.16,49237.770000000004,74132.75,38372.22
2021-01-10,47883.02,83590.1,57485.21833333333,53312.92,49232.229999999996,83590.1,47883.02,56178.18,54714.86,82803.05,46222.33
2021-01-11,54176.479999999996,92068.4,63219.261666666665,57418.91,54176.479999999996,92068.4,54364.6,61410.740000000005,59876.44,92970.88,54516.979999999996
2021-01-12,58823.33,99821.9,68622.185,62579.66,58823.33,99821.9,60740.47,64851.68,64916.07,102825.91,63161.59
2021-01-13,63998.07,107895.56,74071.33833333333,67723.08,63998.07,107895.56,66399.29,67594.85,70817.18,112565.44,71271.58
2021-01-14,70285.43,114599.6,79999.70333333334,73820.76,70285.43,114599.6,72414.24,71914.06,76964.13,122635.66,79284.41
2021-01-15,76897.84,121405.32,86451.66833333333,79832.54000000001,76897.84,121405.32,79818.53,77635.21,83120.57,133398.67,85843.91
