"LAND","RESERVE (GWh)","/","GEM. VERBRUIK WINTERDAG (GWh)","=","AANTAL DAGEN"
"Oostenrijk",18098.3,"/",376.226150362319,"=",48.1048432772967
"België",2308.7,"/",688.059715512614,"=",3.35537737197706
"Bulgarije",1315.9,"/",123.191513939211,"=",10.6817422557964
"Kroatië",1290.4,"/",114.641492636205,"=",11.2559595162884
"Tsjechië",11865.4,"/",373.719837962963,"=",31.749451847873
"Denemarken",4880.1,"/",132.715171095008,"=",36.7712293909973
"Frankrijk",35441.9,"/",2006.73253119968,"=",17.6614967111795
"Duitsland",78094.1,"/",3659.70075214707,"=",21.3389304997639
"Hongarije",18775.5,"/",457.808303978798,"=",41.0117069455113
"Italië",82911,"/",2897.41080414654,"=",28.6155487103674
"Letland",6190.9,"/",55.6699084977187,"=",111.207296132949
"Nederland",34116.1,"/",1460.6887279841,"=",23.3561739379503
"Polen",21399.2,"/",704.772480164721,"=",30.3632741093956
"Portugal",2833.2,"/",165.510096492552,"=",17.1179889326419
"Roemenië",10426.1,"/",458.67946524423,"=",22.7306884001194
"Slowakije",10712.6,"/",213.830936325819,"=",50.0984571459622
"Spanje",19915.8,"/",1117.65951556629,"=",17.8192013959718
"Zweden",6.9,"/",44.7703797638218,"=",0.154119755883236
"Oekraïne",61500.7,"/",1400.04528985507,"=",43.9276503736292
