name,lat,long,end_year,max_cap_store2pipe_M_m3_per_d,max_workingGas_M_m3,median_cap_store2pipe_M_m3_per_d,start_year,is_H_gas
Alexandroupolis,40.9399278,25.9940986,2050,16.71232876712329,110.92671200000001,16.949847486371613,2022,1
Barcelona,41.398,2.174,2050,51.1831809156,442.68952,51.1831809156,1969,1
Bilbao,43.3612,-3.0947299999999998,2050,23.4373526904,262.11672,20.9955689628,2003,1
Cartagena,37.624,-0.998,2050,35.4294333912,341.92032,35.4294333912,1989,1
Dragon,51.71,-5.03,2050,20.82191780821918,208.871104,20.837207792946437,2009,1
Dunkerque,51.033134000000004,2.1947919999999996,2050,49.005373807199994,350.4,49.005373807199994,2016,1
El Ferrol,43.489646,-8.2193451,2050,10.8607523328,175.2,10.8607523328,2007,1
El Musel,43.399,-5.847,2050,19.17808219178082,195.744536,19.282263670316507,2012,1
Fos Cavaou,43.45,4.891,2050,28.2832092,192.72,28.2832092,2020,1
Fos Tonkin,43.45,4.891,2050,9.0411992076,46.72,9.0411992076,1972,1
Gate Rotterdam,51.973836999999996,4.064029,2050,43.461864804,315.36,43.461864804,2018,1
Gothenburg,57.709,11.96,2050,7.667711885127829,21.492952000000002,9.299162087068837,2018,1
Huelva,37.2583,-6.9508,2050,35.4294333912,360.84776000000005,35.4294333912,1988,1
Isle Of Grain,51.45,0.711,2050,60.714622416000005,599.4176000000001,60.714622416000005,2020,1
Klaipeda,55.7253,21.101954,2050,11.831809182,97.56888,11.831809182,2014,1
Montoir De Bretagne,47.32,-2.14,2050,32.5445460528,210.23999999999998,31.771471668,1980,1
Tallinn,59.406009999999995,25.0045,2050,10.95890410958904,2.596464,11.507543057166853,2019,1
Paldiski,59.38445,24.074939999999998,2050,6.8493150684931505,104.435552,7.620182750592033,2020,1
Panigaglia,44.116,9.838,2050,11.266144998,23.36,11.266144998,1971,1
Pori,61.66,23.181,2050,7.398193159761888,18.607992000000003,9.038962940431045,1983,1
Porto Levante,45.034434,12.219946,2050,21.542377674,146,21.542377674,2009,1
Revithoussa,38.17,23.412,2050,25.4454605436,75.92,19.373998302,2000,1
Riga,56.9904,24.1788,2050,13.698630136986301,125.0379742631149,14.099116594883405,2019,1
Sagunto,39.533233,-0.457085,2050,26.237390401200003,349.48895999999996,26.237390401200003,2006,1
Sines,38.532,-8.83,2050,18.8554728,227.76000000000002,18.1766757792,2003,1
South Hook,51.71,-5.03,2050,61.280286600000004,438.98112000000003,61.280286600000004,2009,1
Swinoujscie,53.909167000000004,14.294722,2050,15.348354859200002,186.88,15.348354859200002,2020,1
Toscana,43.547519,10.311025,2050,15.716036578799999,80.10144,15.697181106,2013,1
Zeebrugge,51.323,3.213,2050,41.906288298,223.088,41.906288298,2019,1
