"country_name_nl","full","full_avg","diff"
"Oostenrijk",39.44,76.215,-38.4424256541657
"België",64.56,71.545,-8.15163704470558
"Bulgarije",66.85,75.523,-17.9365454791188
"Tsjechië",66.93,83.039,-11.9219576830812
"Duitsland",59.04,82.323,-13.0418042439534
"Denemarken",73.5,88.656,-34.1280957189234
"Spanje",70.52,79.44,-1.19940532929032
"Frankrijk",67.23,74.487,-5.51989241730367
"Verenigd Koninkrijk",95.57,82.44,61.5518604032476
"Kroatië",63.81,77.4142857142857,-22.9872293170461
"Hongarije",59.81,60.396,-1.36032131832697
"Italië",78.5,85.549,-0.312894196496316
"Letland",60.19,68.404,-19.6858779747331
"Nederland",45.95,84.015,-36.244704280542
"Polen",92.54,85.35,36.3855552668392
"Portugal",78.34,66.092,42.0041431414761
"Roemenië",61.72,70.4344444444444,-9.76424825820429
"Zweden",66.42,50.4425,-84.8767123287671
"Slowakije",56.52,79.119,-23.6509534740371
"Oekraïne",34.34,51.9714285714286,-36.9985776233505
