"","plot_date","full_avg","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021"
"1",2021-01-01,62.995,63.41,65.81,50.85,60.92,77.82,57.46,77.3,41.99,50.62,83.77,76.42
"2",2021-01-02,62.616,63.17,65.79,50.88,60.95,77.42,57.26,75.91,41.42,50.05,83.31,75.07
"3",2021-01-03,62.226,62.93,65.7,50.85,61.04,76.85,57.08,74.76,41.03,49.28,82.74,73.87
"4",2021-01-04,61.744,62.66,65.25,50.77,61.31,75.98,56.23,73.72,40.95,48.44,82.13,72.27
"5",2021-01-05,61.45,62.07,64.88,50.77,61.71,75.91,55.84,72.89,40.59,48.25,81.59,70.89
"6",2021-01-06,61.038,61.68,64.24,50.78,61.82,75.27,55.58,71.88,40.21,48.12,80.8,69.54
"7",2021-01-07,60.587,61.42,63.45,50.79,61.98,74.12,55.54,70.67,39.54,48.15,80.21,68.29
"8",2021-01-08,60.203,61.37,63.11,51.1,61.98,73.47,55.41,69.86,37.88,48.13,79.72,66.84
"9",2021-01-09,59.697,61.36,62.6,50.72,61.96,72.55,55.37,68.8,36.34,48.01,79.26,65.64
"10",2021-01-10,59.26,61.38,62.17,50.51,61.77,72.21,55.35,67.87,35.17,47.38,78.79,64.53
"11",2021-01-11,58.853,61.36,61.59,50.26,61.61,71.89,55.21,67.03,33.99,47.25,78.34,63.17
"12",2021-01-12,58.522,60.99,61.08,50.02,61.59,71.55,54.98,66.11,33.68,47.34,77.88,61.56
"13",2021-01-13,58.105,60.34,60.43,49.82,61.58,70.95,54.41,64.83,33.45,47.82,77.42,60.5
"14",2021-01-14,57.517,59.39,59.95,49.54,61.03,70.16,53.49,63.88,33.24,47.62,76.87,59.22
"15",2021-01-15,56.925,58.54,59.87,49.21,60.67,69.2,52.31,63.22,32.68,47.45,76.1,57.87
"16",2021-01-16,56.344,58.53,59.34,48.91,60.03,68.04,51.9,61.91,32.48,47.35,74.95,56.88
"17",2021-01-17,55.798,58.51,59.27,48.01,59.6,67.63,51.17,61.04,32.15,46.83,73.77,56.33
"18",2021-01-18,55.111,58.46,58.96,47.07,59.03,67.27,50.13,59.63,31.45,45.85,73.26,55.14
"19",2021-01-19,54.491,58.4,58.29,46.65,59.01,66.9,49,58.48,30.81,45,72.37,54.24
"20",2021-01-20,53.789,58.31,57.83,46.27,58.7,65.72,47.92,57.29,30.07,44.09,71.69,53.48
"21",2021-01-21,53.059,58.04,57.34,45.86,58.05,64.88,46.87,56.21,29.4,43.01,70.93,52.72
"22",2021-01-22,52.249,57.3,57.22,45.37,57.51,63.6,45.98,54.87,28.4,42.02,70.22,52.11
"23",2021-01-23,51.477,56.64,56.98,45.03,56.72,62.26,45.26,53.47,27.99,40.92,69.5,51.37
"24",2021-01-24,50.769,55.92,56.74,44.64,55.56,61.15,44.96,52.27,27.69,39.98,68.78,50.42
"25",2021-01-25,50.142,55.43,56.5,44.22,54.94,59.86,44.65,51.24,27.06,39.29,68.23,49.05
"26",2021-01-26,49.719,54.75,56.25,43.85,55.28,58.93,44.26,50.01,26.62,39.47,67.77,48.08
"27",2021-01-27,49.23,53.85,56.13,43.57,55.39,57.86,43.8,48.79,26.3,39.66,66.95,47.41
"28",2021-01-28,48.713,53.07,56,43.18,55.37,56.69,43.11,48.07,26.32,38.89,66.43,46.77
"29",2021-01-29,48.086,51.57,56.03,42.94,54.63,55.7,42.5,47.78,25.95,37.88,65.88,46.4
"30",2021-01-30,47.391,50.12,55.94,42.59,54.02,54.59,42,46.93,25.59,36.8,65.33,45.67
"31",2021-01-31,46.728,49.08,55.78,42.44,53.29,53.36,41.45,46.38,24.94,35.79,64.77,45.01
"32",2021-02-01,46.264,47.93,55.26,42.45,53.39,52.64,40.87,45.73,24.63,34.84,64.9,44.22
"33",2021-02-02,45.703,46.44,53.71,42.37,53.44,51.87,40.6,44.91,24.23,34.51,64.95,43.46
"34",2021-02-03,45.004,45.2,51.9,42.19,53.33,50.48,39.76,43.88,24.06,34.21,65.03,42.69
"35",2021-02-04,44.23,43.94,49.97,42.07,52.78,49.11,39.14,43.12,23.98,33.16,65.03,42.59
"36",2021-02-05,43.504,42.81,48.9,41.92,52.43,47.71,38.74,42.4,22.97,32.14,65.02,42.35
"37",2021-02-06,42.753,41.89,47.67,41.85,51.81,46.62,38.49,41.41,21.94,31.37,64.48,41.92
"38",2021-02-07,42.02,41.83,45.68,41.45,51.46,45.44,37.72,40.43,20.93,31.31,63.95,41.46
"39",2021-02-08,41.324,41.39,44.19,41.08,50.93,44.24,37,39.35,19.87,31.1,64.09,40.04
"40",2021-02-09,40.745,40.62,42.74,40.91,50.49,43.9,36.36,38.19,18.87,31.09,64.28,38.77
"41",2021-02-10,40.224,40.44,41.68,40.7,49.74,42.95,35.68,37.04,18.58,31,64.43,37.48
"42",2021-02-11,39.54,40.42,40.78,40.42,48.87,42.05,34.75,35.69,18.39,29.92,64.11,36.06
"43",2021-02-12,38.816,40.4,39.66,40.17,48.19,41.29,33.92,34.68,17.32,28.94,63.59,34.71
"44",2021-02-13,38.106,40.05,38.61,39.79,47.5,40.5,33.11,33.77,16.51,28.1,63.12,33.68
"45",2021-02-14,37.491,39.6,38.18,38.92,46.78,40.05,32.37,33.07,16.07,27.2,62.67,33.1
"46",2021-02-15,36.994,39.16,37.31,38.83,46.09,39.52,31.15,32.24,15.64,27.02,62.98,31.9
"47",2021-02-16,36.607,38.69,37.04,38.35,46.07,38.71,30.12,31.44,15.26,27.08,63.31,31.62
"48",2021-02-17,36.154,37.66,36.7,38.13,46.19,37.31,29.18,30.48,15.06,27.34,63.49,31.38
"49",2021-02-18,35.721,37.48,36.39,38.05,45.72,36.13,28.13,29.69,14.66,27.17,63.79,31.04
"50",2021-02-19,35.275,37.34,36.25,37.96,45.18,34.93,27.08,28.78,14.2,26.93,64.1,30.67
"51",2021-02-20,34.892,36.42,36.08,37.75,44.99,33.78,26.78,28.14,13.89,26.79,64.3,30.48
"52",2021-02-21,34.622,35.74,35.91,37.62,44.79,33.1,26.42,28.06,13.7,26.25,64.63,30.37
"53",2021-02-22,34.354,35.24,35.84,37.39,44.31,32.4,26.29,27.68,13.41,26.11,64.87,30.15
"54",2021-02-23,34.106,34.64,35.74,37.08,44.14,31.83,25.76,27.54,13.14,26.04,65.15,29.99
"55",2021-02-24,33.819,33.84,35.6,36.69,44.31,30.73,25.11,27.07,13.29,26.22,65.33,29.83
"56",2021-02-25,33.531,32.49,35.47,36.4,44.57,30.18,24.64,26.86,13.19,26.11,65.4,29.66
"57",2021-02-26,33.193,31.4,35.28,36.15,44.63,29.43,24.16,26.76,12.81,26.11,65.2,29.43
"58",2021-02-27,32.824,30.42,34.91,35.65,44.63,29.09,23.86,26.39,12.19,26.13,64.97,29.26
"59",2021-02-28,32.547,30.19,34.82,35.16,44.68,28.53,23.54,25.89,11.56,26.18,64.92,29.11
"60",2021-03-01,32.244,29.85,34.26,34.44,44.73,28.1,22.55,25.12,11.57,26.39,65.43,28.81
"61",2021-03-02,31.973,29.82,34.01,33.84,44.94,27.87,22.19,24.64,10.37,26.52,65.53,28.61
"62",2021-03-03,31.625,29.65,33.87,32.65,44.99,27.12,21.61,23.92,9.92,26.77,65.75,28.2
"63",2021-03-04,31.159,29.1,33.66,31.52,44.81,26.25,21.19,23.45,9.61,26.64,65.36,27.74
"64",2021-03-05,30.757,28.19,33.26,30.38,44.69,25.77,20.92,22.97,9.3,26.83,65.26,27.09
"65",2021-03-06,30.402,27.51,32.75,29.43,44.58,25.12,20.86,22.36,9.02,26.97,65.42,26.14
"66",2021-03-07,30.18,26.99,32.21,29.25,44.64,24.65,20.53,21.81,8.67,27.38,65.67,25.2
"67",2021-03-08,30.005,26.49,31.67,29.01,45.13,24.32,20.11,21.34,8.27,27.78,65.93,24.28
"68",2021-03-09,29.866,25.75,31.33,28.81,45.77,24.22,19.67,20.96,7.77,28.21,66.17,23.82
"69",2021-03-10,29.707,24.91,30.88,28.8,46.27,24.1,19.31,20.49,7.31,28.61,66.39,23.1
"70",2021-03-11,29.587,24.17,30.61,28.78,46.78,23.9,18.84,20.06,7.17,28.92,66.64,22.82
"71",2021-03-12,29.471,23.43,30.47,28.61,47.29,23.55,18.88,19.68,6.73,29.23,66.84,22.66
"72",2021-03-13,29.233,23.17,30.17,26.93,47.77,23.62,18.84,19.16,6.24,29.39,67.04,22.46
"73",2021-03-14,28.983,22.59,30.07,25.17,48.33,23.42,18.55,18.82,5.97,29.48,67.43,22.29
"74",2021-03-15,28.736,22.15,29.99,23.5,48.88,23.11,18.28,18.46,5.62,29.62,67.75,22.11
"75",2021-03-16,28.566,21.57,29.87,23.06,49.51,22.62,17.72,18.18,5.21,29.91,68.01,22
"76",2021-03-17,28.511,21.26,29.8,22.96,49.98,22.3,17.3,18.29,4.9,30.06,68.26,21.81
"77",2021-03-18,28.397,20.83,29.8,22.88,50.49,21.83,16.85,18.12,4.39,30.19,68.59,21.72
"78",2021-03-19,28.291,20.19,29.79,22.75,50.88,21.46,16.72,18.18,3.81,30.26,68.87,21.62
"79",2021-03-20,28.147,19.65,29.51,22.65,51.47,20.83,16.6,18,3.25,30.36,69.15,21.59
"80",2021-03-21,28.009,19.26,29.42,22.48,52.08,20.21,16.32,17.54,2.91,30.45,69.42,21.57
"81",2021-03-22,27.964,19.14,29.31,22.07,52.71,20.02,16.26,17.11,2.53,31.05,69.44,21.52
"82",2021-03-23,27.952,18.67,29.6,21.37,53.31,19.59,16.27,17.08,2.43,31.4,69.8,21.46
"83",2021-03-24,27.8,18.18,29.27,21.19,53.32,19.1,16.1,16.25,2.51,31.97,70.11,21.38
"84",2021-03-25,27.778,17.7,29.36,21.26,53.09,18.64,16.31,15.9,2.68,32.46,70.38,21.68
"85",2021-03-26,27.707,17.2,29.38,21.03,52.69,18.3,16.59,15.81,2.59,32.89,70.59,21.61
"86",2021-03-27,27.608,16.81,29.35,20.91,52.31,17.95,16.91,15.41,2.47,33.12,70.84,21.85
"87",2021-03-28,27.439,16.6,29.27,20.12,51.91,17.5,17.17,15.24,2.24,33.24,71.1,22.01
"88",2021-03-29,27.411,16.51,29.24,19.31,52.18,17.43,17.38,14.78,2.13,33.8,71.35,22.45
"89",2021-03-30,27.331,15.41,29.27,18.89,52.57,17.3,17.68,14.35,2.04,34.24,71.56,22.87
"90",2021-03-31,27.299,14.67,29.24,18.39,53.12,17.22,17.63,14.25,2.15,34.64,71.68,23.33
"91",2021-04-01,27.316,14.43,29.24,18.42,53.58,16.82,17.56,14.56,2.02,34.91,71.62,24.11
"92",2021-04-02,27.412,14.75,29.4,18.44,54.09,16.47,17.58,14.85,1.89,35.13,71.52,24.61
"93",2021-04-03,27.483,15.2,29.32,18.46,54.32,16.12,17.99,14.74,1.75,35.49,71.44,25.14
"94",2021-04-04,27.507,15.59,29.31,18.46,54.53,15.63,17.99,14.88,1.66,35.31,71.71,25.63
"95",2021-04-05,27.564,15.97,29.28,18.46,54.48,15.51,17.99,15.28,1.4,35.19,72.08,26
"96",2021-04-06,27.536,16.3,29.09,18.46,54.74,15.13,16.92,15.53,1.25,35.57,72.37,26.16
"97",2021-04-07,27.676,16.68,29.18,18.46,54.77,14.78,16.88,15.67,1.35,36.28,72.71,25.82
"98",2021-04-08,27.753,17.12,29.14,18.46,54.79,14.37,16.93,16.03,1.18,36.56,72.95,25.86
"99",2021-04-09,27.882,17.65,29.13,18.46,54.15,14.38,17.18,16.48,1.18,36.87,73.34,25.23
"100",2021-04-10,27.969,18.28,29.11,18.46,53.65,14.11,17.6,16.63,0.93,37.22,73.7,25.38
"101",2021-04-11,28.017,18.81,29.05,18.46,53.92,14.09,17.44,16.74,0.58,37.01,74.07,25.52
"102",2021-04-12,28.114,18.81,28.93,18.46,54.28,14.11,18.17,16.9,0.05,36.92,74.51,24.68
"103",2021-04-13,28.165,18.81,28.94,18.46,54.99,14.11,17.69,16.9,0.01,36.92,74.82,23.85
"104",2021-04-14,28.284,18.78,28.93,18.46,55.69,14.28,17.69,16.73,0.12,37.09,75.07,22.96
"105",2021-04-15,28.401,18.79,28.95,18.51,55.81,14.11,18.09,16.98,0.07,37.37,75.33,22.11
"106",2021-04-16,28.547,19.04,29.12,18.51,55.58,14.14,18.36,17.17,0.07,37.85,75.63,21.61
"107",2021-04-17,28.712,19.53,29.08,18.54,55.19,14.16,18.66,17.21,0.07,38.39,76.29,21.37
"108",2021-04-18,28.907,20.21,29.03,18.94,55.5,14.29,18.21,17.08,0.07,38.92,76.82,21.15
"109",2021-04-19,29.219,20.69,28.99,19.54,55.59,14.38,18.96,16.97,0.07,39.55,77.45,20.91
"110",2021-04-20,29.413,21.27,28.87,20.18,55.86,14.33,18.5,16.8,0.07,40.29,77.96,20.7
"111",2021-04-21,29.689,21.81,28.86,20.74,56.15,14.42,18.47,16.83,0.07,41.02,78.52,20.85
"112",2021-04-22,29.991,22.38,28.86,21.34,56.37,14.13,18.63,17.23,0.07,41.76,79.14,21.09
"113",2021-04-23,30.283,22.99,28.8,21.92,56.53,14.15,18.83,17.49,0.07,42.31,79.74,21.19
"114",2021-04-24,30.521,23.71,28.76,22.32,56.33,13.95,18.94,17.89,0.07,42.87,80.37,21.76
"115",2021-04-25,31.152,24.53,28.71,22.71,60.34,14.03,18.59,18.21,0.07,43.34,80.99,22.3
"116",2021-04-26,30.9,24.88,28.8,22.84,56.71,14.16,17.96,18.29,0.07,43.68,81.61,22.74
"117",2021-04-27,31.063,25.24,28.8,23.02,57.02,14.26,17.47,18.44,0.06,44.11,82.21,22.95
"118",2021-04-28,31.255,25.99,29.08,23.47,57.26,14.22,16.87,18.71,0.28,43.86,82.81,23.24
"119",2021-04-29,31.379,26.75,29.41,23.67,57.42,14.34,16.39,18.96,0.28,43.76,82.81,23.13
"120",2021-04-30,31.752,27.45,29.64,23.92,57.65,14.38,16.64,19.52,0.2,44.09,84.03,22.93
"121",2021-05-01,32.132,28.37,30.2,24.15,57.87,14.43,16.74,19.89,0.28,44.73,84.66,23.15
"122",2021-05-02,32.42,29.06,30.52,24.48,58.14,14.66,16.94,19.78,0.33,45.16,85.13,23.32
"123",2021-05-03,32.696,29.75,30.79,24.72,58.24,14.76,17.05,20.03,0.36,45.6,85.66,23.44
"124",2021-05-04,33.012,30.28,31.07,24.97,58.42,14.97,17.52,20.37,0.42,46.02,86.08,23.6
"125",2021-05-05,33.376,30.76,31.37,25.27,58.62,15.36,17.99,20.69,0.79,46.36,86.55,23.64
"126",2021-05-06,33.763,31.43,31.78,25.59,58.83,15.72,18.5,20.98,1.33,46.45,87.02,23.61
"127",2021-05-07,34.061,32.08,32.16,25.95,58.76,15.91,18.98,21.23,1.66,46.63,87.25,23.46
"128",2021-05-08,34.391,32.87,32.49,26.24,58.95,15.87,19.48,21.45,1.93,46.89,87.74,23.74
"129",2021-05-09,34.704,33.6,32.79,26.56,58.98,15.86,20.02,21.75,1.9,47.23,88.35,24.25
"130",2021-05-10,35.118,34.48,33.34,26.88,59.11,15.89,20.76,22.04,2.46,47.5,88.72,24.31
"131",2021-05-11,35.519,35.24,33.91,27.44,59.33,15.89,21.33,22.39,3,47.77,88.89,24.59
"132",2021-05-12,35.912,35.95,34.38,27.72,59.45,16.28,21.98,22.67,3.63,48.01,89.05,24.94
"133",2021-05-13,36.217,36.52,34.92,28.18,59.33,16.26,22.53,22.94,4.02,48.29,89.18,25.17
"134",2021-05-14,36.559,37.28,34.92,28.45,59.48,16.82,23.04,23.22,4.44,48.63,89.31,25.42
"135",2021-05-15,36.955,38.11,35.47,28.76,59.65,17.18,23.53,23.52,4.95,48.82,89.56,25.69
"136",2021-05-16,37.353,38.72,36.56,28.92,59.7,17.4,23.94,23.91,5.48,49.09,89.81,25.97
"137",2021-05-17,37.662,39.41,36.7,28.95,59.97,17.57,24.31,24.22,6.04,49.32,90.13,26.18
"138",2021-05-18,38.064,39.88,37.06,29.24,60.3,18.17,24.9,24.61,6.41,49.72,90.35,26.26
"139",2021-05-19,38.38,40.36,37.58,29.53,60.62,18.15,25.42,24.97,6.76,50.01,90.4,26.13
"140",2021-05-20,38.754,41,38.13,29.76,60.94,18.44,25.91,25.38,7.18,50.16,90.64,25.97
"141",2021-05-21,39.233,42.26,38.66,30.07,61.21,18.51,26.46,25.84,7.69,50.75,90.88,26.13
"142",2021-05-22,39.652,43.25,39,30.35,61.32,18.73,26.95,26.25,8.22,51.09,91.36,26.64
"143",2021-05-23,40.057,44.01,39.98,30.22,61.52,19.11,27.39,26.49,8.75,51.46,91.64,27.19
"144",2021-05-24,40.431,44.61,40.34,30.44,61.81,19.5,27.9,26.76,9.32,52.06,91.57,27.8
"145",2021-05-25,40.88,45.36,41.05,30.31,62.13,20.11,28.41,27.14,9.83,52.7,91.76,28.09
"146",2021-05-26,41.249,45.92,41.72,30.21,62.35,20.09,29.02,27.52,10.4,53.45,91.81,28.26
"147",2021-05-27,41.7,46.51,42.34,30.56,62.61,20.54,29.48,27.9,11.05,54.1,91.91,28.37
"148",2021-05-28,42.07,47.02,43.07,31.09,62.53,20.71,29.86,28.17,11.61,54.62,92.02,28.52
"149",2021-05-29,42.477,47.8,43.92,31.39,62.75,20.89,30.52,28.35,11.96,55.2,91.99,29.01
"150",2021-05-30,33.674,48.55,44.64,31.63,62.92,21.38,30.33,28.88,12.49,55.92,0,29.48
"151",2021-05-31,43.281,49.31,45.43,31.8,62.97,21.82,30.53,29.37,13.12,56.51,91.95,29.67
"152",2021-06-01,43.732,50.08,46.31,31.92,63.07,22.2,30.48,29.83,13.4,57.18,92.85,29.97
"153",2021-06-02,44.063,50.74,47.06,32.24,63.42,22.08,30.15,30.34,13.72,57.85,93.03,30.42
"154",2021-06-03,44.447,51.48,48.06,32.58,63.43,22.41,30.02,30.7,14.12,58.51,93.16,31.23
"155",2021-06-04,44.731,52.16,48.75,32.96,63.21,22.39,29.83,31.06,14.43,59.25,93.27,31.9
"156",2021-06-05,45.076,53.05,49.36,33.26,63.31,22.62,29.87,31.5,14.69,59.86,93.24,32.56
"157",2021-06-06,45.414,53.66,49.82,33.61,63.58,22.51,30.27,31.89,14.92,60.52,93.36,33.14
"158",2021-06-07,45.771,53.96,50.71,33.98,63.98,22.72,30.36,32.2,15.2,61.15,93.45,33.83
"159",2021-06-08,46.125,54.32,51.56,34.46,64.37,22.86,30.6,32.53,15.35,61.74,93.46,34.31
"160",2021-06-09,46.415,54.59,52.34,34.76,64.82,22.48,31.16,32.7,15.45,62.35,93.5,34.56
"161",2021-06-10,46.631,54.72,53.04,35.25,65.03,22.1,31.03,33.07,15.62,62.97,93.48,35
"162",2021-06-11,46.982,55.06,53.86,35.63,65.18,21.95,31.23,33.79,16.08,63.52,93.52,35.37
"163",2021-06-12,47.322,55.28,54.69,36.02,65.2,22.15,31.57,34.15,16.55,64.06,93.55,36.03
"164",2021-06-13,47.593,55.56,55.47,36.38,65.44,22.06,31.68,34.39,16.74,64.64,93.57,36.79
"165",2021-06-14,47.897,55.78,56.25,36.7,65.5,22.3,31.98,34.61,17.04,65.22,93.59,37.28
"166",2021-06-15,48.284,56,57.06,36.98,65.76,22.79,32.54,34.92,17.4,65.76,93.63,37.89
"167",2021-06-16,48.676,56.41,57.95,37.43,65.81,23.04,32.96,35.31,17.9,66.3,93.65,38.27
"168",2021-06-17,48.964,56.82,58.56,37.53,65.94,23.16,32.97,35.65,18.61,66.88,93.52,38.6
"169",2021-06-18,49.25,57.3,59.17,37.68,66.05,23.13,33.45,36.02,18.78,67.4,93.52,39.22
"170",2021-06-19,49.555,57.7,59.84,38.14,66.19,23.01,33.94,36.14,19.04,67.93,93.62,39.56
"171",2021-06-20,49.865,58.25,60.49,38.65,66.08,23.22,34.35,36.26,19.07,68.46,93.82,39.91
"172",2021-06-21,50.051,58.46,60.67,38.67,66.71,23,34.47,36.39,19.17,68.94,94.03,40.23
"173",2021-06-22,50.284,58.76,60.85,39.08,67.15,23.18,34.58,36,19.59,69.45,94.2,40.4
"174",2021-06-23,50.532,59.24,61.02,39.47,67.58,23.05,35.04,35.47,20.17,69.98,94.3,40.47
"175",2021-06-24,50.778,59.74,61.2,39.55,67.98,22.76,35.53,35.26,20.74,70.53,94.49,40.54
"176",2021-06-25,50.962,60.28,61.36,39.87,68.23,22.32,35.89,34.97,21.04,71.08,94.58,40.6
"177",2021-06-26,51.21,60.95,61.73,40.34,68.66,22.13,36.1,34.58,21.25,71.66,94.7,40.7
"178",2021-06-27,51.414,62.05,61.61,40.54,69.07,22.23,36.26,33.82,21.54,72.26,94.76,41.15
"179",2021-06-28,51.649,62.77,61.6,40.74,69.54,22.25,36.52,33.04,22.15,72.84,95.04,41.4
"180",2021-06-29,51.9,63.49,61.54,41.51,69.87,22.16,36.85,32.7,22.79,73.33,94.76,41.45
"181",2021-06-30,52.318,64.13,62.53,41.76,70.34,21.96,37.1,32.9,23.33,73.93,95.2,41.67
"182",2021-07-01,52.806,64.69,62.79,42.53,71.16,21.89,37.57,33.73,24.03,74.45,95.22,41.86
"183",2021-07-02,53.286,65.35,62.88,43.34,71.75,22.47,38.01,34.57,24.38,74.89,95.22,42.13
"184",2021-07-03,53.637,66,62.92,43.84,72.09,22.79,38.24,35.04,24.72,75.34,95.39,42.86
"185",2021-07-04,54.059,66.69,63.03,44.42,72.5,23.26,38.48,35.72,25.24,75.68,95.57,43.66
"186",2021-07-05,54.428,67.36,62.94,45.14,72.73,23.61,38.46,36.5,25.72,76.01,95.81,44.02
"187",2021-07-06,54.848,68.04,62.84,45.85,73.23,23.74,38.96,37.29,26.16,76.41,95.96,44.57
"188",2021-07-07,55.211,68.72,63.06,46.62,73.33,23.71,39.23,38.06,26.52,76.78,96.08,45.02
"189",2021-07-08,55.67,69.43,63.33,47.41,73.87,23.98,39.46,38.89,27.03,77.06,96.24,45.4
"190",2021-07-09,56.172,70.21,63.79,48.02,74.38,24.27,40.15,39.68,27.47,77.4,96.35,45.76
"191",2021-07-10,56.635,70.8,63.83,48.65,74.78,24.7,40.81,40.43,28.03,77.75,96.57,46.36
"192",2021-07-11,57.052,71.41,64.09,49.22,74.93,24.97,41.42,41.26,28.53,78.04,96.65,47.13
"193",2021-07-12,57.483,71.95,64.35,49.86,75.23,25.27,41.92,42.11,28.97,78.42,96.75,47.43
"194",2021-07-13,57.86,72.22,64.62,50.25,75.38,25.71,42.52,42.89,29.5,78.83,96.68,48.07
"195",2021-07-14,58.268,72.45,64.89,50.8,75.67,25.86,43.21,43.73,30.03,79.3,96.74,48.84
"196",2021-07-15,58.694,72.76,65.2,51.58,75.76,25.92,44.1,44.41,30.55,79.75,96.91,49.23
"197",2021-07-16,59.097,73.07,65.5,52.3,75.89,26.12,44.75,45.19,30.98,80.1,97.07,49.58
"198",2021-07-17,59.499,73.45,65.78,52.7,76.15,26.56,45.44,45.76,31.46,80.45,97.24,50.23
"199",2021-07-18,59.887,73.88,66.34,52.95,76.42,26.78,45.99,46.35,32.13,80.79,97.24,50.91
"200",2021-07-19,60.294,74.27,66.86,53.33,76.8,27.14,46.65,46.89,32.57,81.19,97.24,51.47
"201",2021-07-20,60.689,74.56,67.44,53.57,77.06,27.76,47.15,47.41,33.07,81.62,97.25,51.82
"202",2021-07-21,61.048,74.82,68,53.94,77.42,27.96,47.84,48,33.33,81.92,97.25,52.18
"203",2021-07-22,61.436,75.03,68.61,54.56,77.73,28.23,48.55,48.59,33.58,82.23,97.25,52.52
"204",2021-07-23,61.809,75.15,68.99,55.3,78.14,28.45,49.23,49.14,33.81,82.61,97.27,53.22
"205",2021-07-24,62.198,75.26,69.36,56.09,78.49,28.72,49.89,49.63,34.33,82.94,97.27,53.95
"206",2021-07-25,62.656,75.6,69.8,56.72,79.23,29.04,50.55,50.19,34.92,83.24,97.27,54.68
"207",2021-07-26,63.024,75.91,70.21,57.28,79.25,29.35,51.22,50.7,35.4,83.6,97.32,55.38
"208",2021-07-27,63.447,76.17,70.64,57.85,79.8,29.63,51.9,51.24,35.91,83.94,97.39,56.13
"209",2021-07-28,63.858,76.31,71.07,58.37,80.18,30.08,52.57,51.85,36.36,84.25,97.54,56.88
"210",2021-07-29,64.232,76.35,71.52,58.7,80.65,30.49,53.29,52.44,36.79,84.56,97.53,57.53
"211",2021-07-30,64.583,76.56,71.96,58.99,80.99,30.61,53.93,53.06,37.31,84.91,97.51,58.15
"212",2021-07-31,64.949,76.69,72.37,59.31,81.4,30.86,54.57,53.6,37.85,85.27,97.57,58.83
"213",2021-08-01,65.32,76.86,72.8,59.85,81.77,31.14,55.22,54.22,38.14,85.67,97.53,59.49
"214",2021-08-02,65.76,77.07,73.33,60.76,82.14,31.69,55.91,54.75,38.38,86.05,97.52,60.19
"215",2021-08-03,66.157,77.34,73.77,61.14,82.52,32.3,56.65,55.33,38.56,86.43,97.53,60.85
"216",2021-08-04,66.536,77.65,74.21,61.65,82.9,32.58,57.4,55.85,38.74,86.85,97.53,61.51
"217",2021-08-05,66.938,77.92,74.68,62.31,83.13,33.15,58.06,56.41,38.96,87.23,97.53,62.15
"218",2021-08-06,67.335,78.2,75.12,62.84,83.34,33.7,58.79,57.04,39.18,87.61,97.53,62.85
"219",2021-08-07,67.72,78.49,75.53,63.36,83.39,34.14,59.53,57.58,39.55,88.1,97.53,63.65
"220",2021-08-08,68.102,78.61,75.96,63.92,83.68,34.45,60.33,58.07,40.02,88.45,97.53,64.44
"221",2021-08-09,68.498,78.89,76.4,64.39,83.98,34.85,61.07,58.61,40.45,88.8,97.54,65.11
"222",2021-08-10,68.903,79.12,76.84,64.93,84.44,35.34,61.8,58.94,40.95,89.14,97.53,65.86
"223",2021-08-11,69.287,79.41,77.27,65.4,84.81,35.76,62.51,59.5,41.2,89.48,97.53,66.52
"224",2021-08-12,69.664,79.66,77.74,65.53,85.31,36.15,63.24,60.16,41.46,89.86,97.53,67.2
"225",2021-08-13,70.008,79.88,78.17,65.65,85.61,36.5,63.95,60.83,41.72,90.24,97.53,67.85
"226",2021-08-14,70.322,80.07,78.62,65.67,86.01,36.64,64.69,61.4,41.96,90.63,97.53,68.53
"227",2021-08-15,70.658,80.29,78.94,65.69,86.37,36.96,65.44,62.02,42.31,91.03,97.53,69.23
"228",2021-08-16,71.233,80.5,79.25,65.7,89.29,37.43,66.22,62.49,42.52,91.41,97.52,69.82
"229",2021-08-17,71.545,80.73,79.49,65.72,89.34,37.92,66.93,63.09,42.89,91.82,97.52,70.44
"230",2021-08-18,71.837,80.94,79.76,65.77,89.65,38.05,67.64,63.66,43.26,92.21,97.43,71.07
