"","plot_date","full_avg","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021"
"1",2021-01-01,75.696,60.74,87.66,73.99,72.8,78.08,78.96,66.52,65.79,75.6,96.82,73.27
"2",2021-01-02,75.387,60.56,87.18,73.63,72.69,77.48,78.81,66.17,65.54,75.37,96.44,72.75
"3",2021-01-03,75.012,60.16,87,73.22,72.52,77.05,78.55,65.41,65.21,74.82,96.18,72.15
"4",2021-01-04,74.657,59.46,86.83,73.02,72.51,76.57,78.11,64.67,64.92,74.45,96.03,71.23
"5",2021-01-05,74.257,58.79,86.71,72.69,72.46,75.85,77.61,63.63,64.66,74.33,95.84,70.21
"6",2021-01-06,73.878,58.31,86.6,72.4,72.28,75.28,77.2,62.51,64.45,74.22,95.53,69.22
"7",2021-01-07,73.476,57.99,86.52,71.87,72.15,74.69,76.76,61.54,64.07,74,95.17,68.02
"8",2021-01-08,73.15,58.08,86.4,71.52,71.99,74.21,76.47,60.78,63.41,73.86,94.78,66.82
"9",2021-01-09,72.818,58.27,86.21,71.07,71.86,73.84,76.26,59.83,62.8,73.42,94.62,65.7
"10",2021-01-10,72.445,57.89,86.01,70.68,71.68,73.62,76.1,58.92,62.23,72.86,94.46,64.64
"11",2021-01-11,72.045,57.47,85.85,70.13,71.49,73.26,75.78,58.11,61.66,72.44,94.26,63.42
"12",2021-01-12,71.676,57.09,85.71,69.78,71.26,72.73,75.48,57.28,61.17,72.26,94,62.19
"13",2021-01-13,71.332,56.95,85.49,69.36,70.89,72.31,75.14,56.49,60.76,72.2,93.73,61
"14",2021-01-14,70.975,57,85.32,68.74,70.58,71.76,74.64,55.9,60.37,71.9,93.54,59.72
"15",2021-01-15,70.563,57.31,85.08,67.92,70.32,71.06,74.14,55.23,59.71,71.55,93.31,58.29
"16",2021-01-16,70.108,57.57,84.63,66.98,70.13,70.47,73.72,54.16,59.14,71.21,93.07,57.11
"17",2021-01-17,69.536,57.4,83.95,65.96,69.92,69.88,73.18,52.95,58.45,70.85,92.82,56.07
"18",2021-01-18,68.899,57.19,83.3,64.96,69.79,69.19,72.35,51.66,57.77,70.24,92.54,54.87
"19",2021-01-19,68.272,56.79,82.9,64.29,69.63,68.22,71.48,50.49,57.08,69.69,92.15,53.91
"20",2021-01-20,67.62,56.32,82.62,63.69,69.18,67.29,70.57,49.4,56.58,69.05,91.5,53.2
"21",2021-01-21,66.963,55.66,82.51,62.96,68.67,66.49,69.59,48.66,56.12,68.16,90.81,52.74
"22",2021-01-22,66.337,55.24,82.42,62.15,68.17,65.65,68.8,47.85,55.57,67.33,90.19,52.1
"23",2021-01-23,65.738,54.91,82.21,61.36,67.78,64.75,68.45,46.71,55.22,66.49,89.5,51.41
"24",2021-01-24,65.16,54.45,81.88,60.56,67.4,64.04,68.16,45.56,55.08,65.67,88.8,50.74
"25",2021-01-25,64.669,54.27,81.62,59.85,67.24,63.44,67.96,44.33,54.73,64.95,88.3,49.66
"26",2021-01-26,64.188,53.69,81.24,59.32,66.99,62.71,67.78,43.29,54.33,64.62,87.91,48.66
"27",2021-01-27,63.741,53.13,80.91,58.83,66.45,62.04,67.62,42.4,54.11,64.4,87.52,47.7
"28",2021-01-28,63.297,52.34,80.72,58.31,66.16,61.33,67.4,41.8,54.01,63.95,86.95,46.99
"29",2021-01-29,62.865,51.68,80.48,58.06,65.78,60.54,67.18,41.26,53.83,63.38,86.46,46.4
"30",2021-01-30,62.361,51.04,79.85,57.86,65.25,59.7,67.02,40.61,53.45,62.82,86.01,45.73
"31",2021-01-31,61.864,50.18,78.92,57.78,64.82,59,66.84,39.94,53.09,62.21,85.86,44.94
"32",2021-02-01,61.384,49.29,77.82,57.52,64.76,58.27,66.62,39.45,52.58,61.69,85.84,44.12
"33",2021-02-02,60.866,48.55,76.37,57.18,64.68,57.37,66.39,38.98,51.98,61.37,85.79,43.52
"34",2021-02-03,60.292,47.94,74.81,56.79,64.38,56.35,66.05,38.61,51.44,61.03,85.52,43.18
"35",2021-02-04,59.726,47.58,73.45,56.33,64.14,55.34,65.6,38.36,50.81,60.54,85.11,42.71
"36",2021-02-05,59.15,47.58,72.18,55.72,63.97,54.23,65.33,38.06,49.78,60.04,84.61,42.27
"37",2021-02-06,58.535,47.64,70.59,55.16,63.85,53.16,65.28,37.48,48.61,59.72,83.86,41.9
"38",2021-02-07,57.925,47.35,68.85,54.6,63.75,52.24,65.23,36.85,47.41,59.53,83.44,41.32
"39",2021-02-08,57.323,47.19,67.23,53.88,63.66,51.46,65.05,36.13,46.18,59.36,83.09,40.32
"40",2021-02-09,56.707,47.06,65.22,53.3,63.56,50.63,64.78,35.18,45.11,59.27,82.96,39.19
"41",2021-02-10,56.163,46.75,63.89,52.75,63.33,49.81,64.5,34.17,44.47,59.2,82.76,38
"42",2021-02-11,55.603,46.52,62.43,51.92,63.08,49.02,64.16,33.61,43.94,58.89,82.46,36.96
"43",2021-02-12,55.083,46.45,61.08,51.25,62.96,48.12,63.84,33.4,43.11,58.54,82.08,35.91
"44",2021-02-13,54.535,46.42,59.82,50.54,62.83,47.32,63.61,32.71,42.17,58.24,81.69,34.95
"45",2021-02-14,54.039,45.99,58.85,49.97,62.64,46.75,63.39,32.06,41.28,58.01,81.45,34.12
"46",2021-02-15,53.689,45.89,58.13,49.47,62.67,46.22,62.97,31.75,40.49,57.91,81.39,33.24
"47",2021-02-16,53.326,45.63,57.45,49.13,62.66,45.46,62.49,31.36,39.78,57.91,81.39,32.76
"48",2021-02-17,52.994,45.25,56.97,49.41,62.42,44.55,61.94,30.95,39.27,57.96,81.22,32.55
"49",2021-02-18,52.648,44.91,56.86,48.99,62.3,43.68,61.44,30.72,38.71,57.9,80.97,32.36
"50",2021-02-19,52.475,44.8,56.65,50.12,62.34,42.87,61.11,30.5,37.85,57.76,80.75,32.17
"51",2021-02-20,52.083,44.53,56.07,49.6,62.26,42.2,60.95,30.24,36.84,57.61,80.53,32.1
"52",2021-02-21,51.372,43.95,55.65,48.85,62.2,41.69,60.93,30.04,35.77,54.31,80.33,32.07
"53",2021-02-22,50.939,43.13,55.29,47.86,62.15,41.29,60.8,29.83,34.63,54.17,80.24,31.87
"54",2021-02-23,50.517,42.26,54.97,47.1,62.12,40.71,60.53,29.62,33.57,54.11,80.18,31.79
"55",2021-02-24,50.068,41.42,54.77,46.25,62.02,40.06,60.1,29.31,32.75,54.05,79.95,31.81
"56",2021-02-25,49.647,40.84,54.82,45.26,61.93,39.39,59.57,29.1,31.84,53.94,79.78,31.75
"57",2021-02-26,49.219,40.56,54.83,44.2,61.91,38.86,59.05,28.95,30.45,54.02,79.36,31.74
"58",2021-02-27,48.785,40.56,54.58,43.29,61.83,38.3,58.79,28.8,28.95,53.97,78.78,31.67
"59",2021-02-28,48.341,40.26,54.38,42.49,61.72,37.82,58.55,28.56,27.46,53.95,78.22,31.53
"60",2021-03-01,47.937,39.81,54.33,41.92,61.64,37.73,57.69,28.34,26.12,53.77,78.02,31.17
"61",2021-03-02,47.58,39.59,54.34,41.54,61.56,37.2,57.42,28.12,24.77,53.8,77.46,30.92
"62",2021-03-03,47.27,39.21,54.38,41.17,61.45,36.52,57.08,27.93,23.86,53.86,77.24,30.59
"63",2021-03-04,46.977,38.83,54.42,40.7,61.29,35.87,56.69,27.9,23.26,53.85,76.96,30.31
"64",2021-03-05,46.698,38.64,54.22,40.25,61.19,35.35,56.42,27.85,22.67,53.76,76.63,29.96
"65",2021-03-06,46.475,38.51,54.08,40,61.12,35.03,56.15,27.67,22.11,53.68,76.4,29.69
"66",2021-03-07,46.177,38.27,53.01,39.76,61.06,34.97,55.73,27.42,21.57,53.75,76.23,29.41
"67",2021-03-08,45.972,37.99,52.84,39.41,61.07,35.02,55.27,27.18,21,53.76,76.18,28.95
"68",2021-03-09,45.824,37.74,52.8,39.05,61.13,35.01,54.9,27.06,20.76,53.82,75.97,28.5
"69",2021-03-10,45.718,37.78,52.93,38.56,61.17,34.95,54.49,26.96,20.67,53.86,75.81,28.28
"70",2021-03-11,45.57,37.79,53.13,37.66,61.14,34.72,54.14,27,20.64,53.74,75.74,28.17
