"","plot_date","full_avg","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021"
"1",2021-01-01,64.653,55.5,68.81,61.69,57.57,69.42,65.43,61.38,51.26,70.37,85.1,70.07
"2",2021-01-02,64.152,55.12,68.48,61.29,57.45,68.73,65.16,60.56,50.93,69.54,84.26,69.25
"3",2021-01-03,63.608,54.54,67.96,60.86,57.3,68.25,64.88,59.59,50.57,68.47,83.66,68.46
"4",2021-01-04,63.049,53.9,67.44,60.54,57.09,67.76,64.33,58.73,50.25,67.39,83.06,67.38
"5",2021-01-05,62.474,53.46,66.94,60.24,56.78,66.95,63.78,57.76,49.9,66.53,82.4,66.02
"6",2021-01-06,61.867,53.18,66.3,59.88,56.55,66.12,63.16,56.75,49.57,65.7,81.46,64.69
"7",2021-01-07,61.254,52.88,65.68,59.37,56.33,65.32,62.52,55.85,49.16,64.92,80.51,63.43
"8",2021-01-08,60.672,52.62,65.07,58.83,56.17,64.63,61.82,55.12,48.53,64.19,79.74,62.14
"9",2021-01-09,60.086,52.27,64.39,58.26,56,64.15,61.39,54.29,47.87,63.25,78.99,61.07
"10",2021-01-10,59.483,51.68,63.69,57.73,55.7,63.83,60.98,53.45,47.27,62.19,78.31,59.94
"11",2021-01-11,58.88,51.19,62.96,57.16,55.5,63.41,60.36,52.62,46.69,61.3,77.61,58.68
"12",2021-01-12,58.307,50.85,62.19,56.6,55.26,62.76,59.71,51.89,46.05,60.7,77.06,57.57
"13",2021-01-13,57.726,50.58,61.42,55.99,54.97,62.08,58.99,51.15,45.46,60.28,76.34,56.65
"14",2021-01-14,57.042,50.34,60.67,55.06,54.53,61.32,58.31,50.42,44.93,59.59,75.25,55.65
"15",2021-01-15,56.367,50.29,59.92,54.1,54.13,60.7,57.57,49.68,44.32,58.76,74.2,54.45
"16",2021-01-16,55.661,50.19,59.09,53.05,53.8,60.07,56.84,48.74,43.71,57.99,73.13,53.49
"17",2021-01-17,54.897,49.79,58.35,51.91,53.47,59.46,56.11,47.71,43.02,57.1,72.05,52.61
"18",2021-01-18,54.106,49.49,57.63,50.87,53.13,58.73,55.08,46.67,42.36,56.19,70.91,51.47
"19",2021-01-19,53.316,49.09,56.97,50.05,52.77,57.78,54.1,45.65,41.68,55.37,69.7,50.45
"20",2021-01-20,52.51,48.63,56.36,49.2,52.28,56.84,53.14,44.64,41.13,54.56,68.32,49.75
"21",2021-01-21,51.652,48.04,55.79,48.28,51.75,55.92,52.16,43.73,40.58,53.45,66.82,49.2
"22",2021-01-22,50.809,47.49,55.29,47.37,51.23,55.01,51.27,42.88,39.93,52.32,65.3,48.52
"23",2021-01-23,49.973,46.99,54.64,46.44,50.67,54.01,50.68,41.94,39.33,51.25,63.78,47.96
"24",2021-01-24,49.18,46.37,54,45.51,50.2,53.1,50.26,40.98,38.81,50.16,62.41,47.29
"25",2021-01-25,48.428,45.91,53.37,44.52,49.83,52.19,49.76,40.05,38.17,49.15,61.33,46.25
"26",2021-01-26,47.714,45.34,52.77,43.74,49.53,51.25,49.23,39.05,37.48,48.32,60.43,45.3
"27",2021-01-27,47.046,44.84,52.12,43.08,48.96,50.35,48.78,38.29,36.91,47.67,59.46,44.39
"28",2021-01-28,46.35,44.35,51.45,42.33,48.34,49.5,48.26,37.82,36.41,46.63,58.41,43.82
"29",2021-01-29,45.66,43.87,50.73,41.86,47.74,48.62,47.76,37.39,35.78,45.58,57.27,43.46
"30",2021-01-30,44.958,43.33,49.86,41.43,47.13,47.69,47.28,36.81,35.19,44.48,56.38,43.08
"31",2021-01-31,44.281,42.64,48.97,41.01,46.6,46.93,46.88,36.22,34.58,43.5,55.48,42.66
"32",2021-02-01,43.675,41.83,48,40.53,46.04,46.05,46.59,35.76,33.83,42.59,55.53,41.95
"33",2021-02-02,43.035,41.09,46.94,40.02,45.41,45.01,46.18,35.43,33.03,41.94,55.3,41.37
"34",2021-02-03,42.514,40.55,45.78,39.43,44.82,43.97,47.17,35.12,32.31,41.18,54.81,40.81
"35",2021-02-04,41.803,40.19,44.62,38.84,44.29,42.91,46.54,34.82,31.62,40.09,54.11,40.01
"36",2021-02-05,41.041,39.91,43.52,38.19,43.73,41.76,46.02,34.46,30.77,38.92,53.13,39.38
"37",2021-02-06,40.275,39.57,42.37,37.47,43.2,40.65,45.71,33.83,29.92,38.04,51.99,38.96
"38",2021-02-07,39.549,39.2,41.21,36.64,42.65,39.71,45.39,33.29,29.11,37.14,51.15,38.32
"39",2021-02-08,38.848,38.82,40.05,35.86,42.15,38.93,44.87,32.67,28.21,36.34,50.58,37.16
"40",2021-02-09,38.183,38.5,38.9,35.19,41.63,37.89,44.23,32.02,27.49,35.75,50.23,35.96
"41",2021-02-10,37.476,38.17,37.75,34.5,40.94,37,43.47,31.31,26.94,35.09,49.59,34.72
"42",2021-02-11,36.757,37.88,36.64,33.75,40.3,36.13,42.79,30.79,26.46,34.11,48.72,33.46
"43",2021-02-12,36.056,37.56,35.56,32.98,39.58,35.4,42.24,30.48,25.76,33.27,47.73,32.16
"44",2021-02-13,35.367,37.24,34.51,32.12,38.82,34.79,41.84,30.04,24.97,32.53,46.81,30.95
"45",2021-02-14,34.757,36.89,33.65,31.31,38.25,34.27,41.38,29.67,24.29,31.92,45.94,29.88
"46",2021-02-15,34.215,36.45,32.89,30.64,37.75,33.79,40.65,29.34,23.7,31.34,45.6,28.83
"47",2021-02-16,33.72,36.13,32.19,30.09,37.26,33.12,39.75,29.04,23.21,31.04,45.37,27.96
"48",2021-02-17,33.19,35.79,31.52,29.51,36.64,32.46,38.86,28.69,22.7,30.8,44.93,27.26
"49",2021-02-18,32.61,35.44,30.89,28.7,36.07,31.75,37.98,28.42,22.17,30.39,44.29,26.56
"50",2021-02-19,32.032,35.08,30.25,27.95,35.57,31.07,37.29,28.11,21.41,30,43.59,25.93
"51",2021-02-20,31.509,34.75,29.54,27.23,35.1,30.44,36.92,27.8,20.86,29.47,42.98,25.79
"52",2021-02-21,30.983,34.32,28.75,26.41,34.6,29.84,36.7,27.57,20.21,29.08,42.35,25.69
"53",2021-02-22,30.474,33.85,28.04,25.48,34.15,29.26,36.45,27.36,19.46,28.74,41.95,25.35
"54",2021-02-23,29.967,33.44,27.47,24.52,33.76,28.51,35.96,27.05,18.58,28.7,41.68,25.26
"55",2021-02-24,29.493,33.13,26.98,23.64,33.34,27.86,35.4,26.65,17.94,28.66,41.33,25.34
"56",2021-02-25,28.962,32.75,26.59,22.66,32.91,27.29,34.82,26.3,17.27,28.34,40.69,25.07
"57",2021-02-26,28.406,32.4,26.21,21.74,32.47,26.78,34.23,26.11,16.35,28.08,39.69,24.59
"58",2021-02-27,27.88,32.05,25.76,20.96,31.96,26.23,33.82,25.91,15.42,27.97,38.72,24.21
"59",2021-02-28,27.318,31.5,25.33,20.25,31.35,25.76,33.38,25.5,14.45,27.81,37.85,23.79
"60",2021-03-01,26.729,31.1,24.6,19.68,30.95,25.42,31.99,25.15,13.52,27.89,36.99,23.43
"61",2021-03-02,26.354,30.73,24.3,19.13,30.66,25.02,31.58,24.9,12.66,28.19,36.37,23.14
"62",2021-03-03,25.959,30.34,24.02,18.61,30.21,24.56,30.92,24.7,12.09,28.55,35.59,22.77
"63",2021-03-04,25.585,30.02,23.71,18.15,29.77,24.12,30.34,24.52,11.61,28.61,35,22.16
"64",2021-03-05,25.201,29.78,23.3,17.9,29.41,23.61,29.9,24.3,11.06,28.44,34.31,21.51
"65",2021-03-06,24.847,29.51,22.89,17.74,29.1,23.16,29.55,23.88,10.51,28.59,33.54,21.09
"66",2021-03-07,24.511,29.21,22.5,17.6,28.83,22.86,28.89,23.5,9.96,28.63,33.13,20.66
"67",2021-03-08,24.234,28.92,22.11,17.52,28.65,22.62,28.26,23.28,9.45,28.63,32.9,20.14
"68",2021-03-09,23.99,28.7,21.75,17.5,28.5,22.26,27.75,23.1,9.17,28.73,32.44,19.54
"69",2021-03-10,23.814,28.69,21.45,17.39,28.34,22.03,27.19,23.01,9.04,28.79,32.21,19.26
"70",2021-03-11,23.605,28.64,21.15,17.06,28.16,21.75,26.75,22.97,8.93,28.5,32.14,19.33
"71",2021-03-12,23.404,28.72,20.95,16.54,27.98,21.48,26.47,22.95,8.66,28.19,32.1,19.35
"72",2021-03-13,23.117,28.81,20.82,15.84,27.84,21.17,26.19,22.69,8.36,27.8,31.65,19.27
"73",2021-03-14,22.875,28.84,20.75,15.18,27.69,20.9,25.79,22.45,7.99,27.61,31.55,19.14
"74",2021-03-15,22.707,28.86,20.69,14.66,27.66,20.59,25.47,22.3,7.65,27.6,31.59,18.93
"75",2021-03-16,22.528,28.95,20.65,14.41,27.68,20.21,25.03,22.17,7.27,27.65,31.26,18.63
"76",2021-03-17,22.371,28.92,20.63,14.18,27.61,19.95,24.51,22.05,6.95,27.63,31.28,18.27
"77",2021-03-18,22.18,28.99,20.53,13.75,27.6,19.75,24.16,22,6.5,27.32,31.2,17.89
"78",2021-03-19,21.976,28.98,20.37,13.46,27.53,19.53,23.96,21.92,5.9,26.92,31.19,17.57
"79",2021-03-20,21.789,28.99,20.22,13.08,27.54,19.35,23.77,21.76,5.29,26.63,31.26,17.68
"80",2021-03-21,21.587,28.91,20.06,12.7,27.52,19.21,23.28,21.49,4.77,26.46,31.47,17.83
"81",2021-03-22,21.437,28.92,19.96,12.46,27.47,19.02,23.06,21.18,4.31,26.45,31.54,17.65
"82",2021-03-23,21.295,28.97,19.92,12.21,27.33,18.72,22.76,20.92,3.88,26.8,31.44,17.65
"83",2021-03-24,21.179,29.13,20.07,11.86,27.07,18.41,22.48,20.71,3.75,27.2,31.11,17.81
"84",2021-03-25,21.047,29.31,20.24,11.33,26.87,18.08,22.26,20.59,3.7,27.33,30.76,17.99
"85",2021-03-26,20.913,29.54,20.32,10.77,26.65,17.77,22.21,20.52,3.52,27.42,30.41,18.32
"86",2021-03-27,20.795,29.76,20.6,10.2,26.33,17.5,22.19,20.31,3.32,27.41,30.33,18.62
"87",2021-03-28,20.713,29.8,20.92,9.68,26.1,17.39,22.16,20.14,3.16,27.46,30.32,18.86
"88",2021-03-29,20.728,29.85,21.27,9.3,26.16,17.33,22,20.05,3.04,28.07,30.21,19.33
"89",2021-03-30,20.735,29.93,21.66,9.12,26.37,17.13,21.79,19.98,2.97,28.54,29.86,19.78
"90",2021-03-31,20.595,30.01,21.96,8.81,26.49,16.95,21.4,19.87,2.9,28.1,29.46,19.62
"91",2021-04-01,20.752,30.06,22.3,8.63,26.63,16.88,21.03,20.07,2.85,29.33,29.74,22.17
"92",2021-04-02,20.927,30.24,22.41,8.24,26.88,16.76,21.15,20.31,2.82,30.57,29.89,22.73
"93",2021-04-03,21.043,30.56,22.61,7.9,27.1,16.72,21.4,20.52,2.82,30.66,30.14,23.23
"94",2021-04-04,21.16,30.62,22.73,7.52,27.27,16.87,21.62,20.75,2.88,30.68,30.66,23.76
"95",2021-04-05,21.3,30.67,22.84,7.19,27.6,16.99,21.81,20.94,2.85,30.82,31.29,24.12
"96",2021-04-06,21.542,30.81,22.97,6.96,27.95,17.08,22.02,21.12,2.95,31.35,32.21,23.93
"97",2021-04-07,21.75,30.94,23.09,6.84,28.27,16.98,22.17,21.37,3.12,31.94,32.78,23.42
"98",2021-04-08,21.966,31.27,23.2,6.68,28.46,17.01,22.25,21.71,3.31,32.24,33.53,23.02
"99",2021-04-09,22.205,31.67,23.36,6.69,28.58,17.13,22.4,22.14,3.28,32.5,34.3,22.72
"100",2021-04-10,22.426,32.06,23.42,6.56,28.73,17.23,22.7,22.46,3.27,32.73,35.1,22.72
"101",2021-04-11,22.627,32.05,23.43,6.72,28.9,17.4,22.87,22.76,3.31,32.9,35.93,22.66
"102",2021-04-12,22.84,32.06,23.34,6.93,29.14,17.6,23.08,23.11,3.31,33.08,36.75,22.18
"103",2021-04-13,23.083,32.15,23.31,7.25,29.39,17.71,23.29,23.41,3.37,33.4,37.55,21.72
"104",2021-04-14,23.31,32.3,23.38,7.71,29.56,17.83,23.5,23.63,3.36,33.63,38.2,21.37
"105",2021-04-15,23.561,32.41,23.39,7.96,29.6,17.96,23.77,23.84,3.8,33.99,38.89,20.93
"106",2021-04-16,23.791,32.67,23.01,8.28,29.7,18.11,24.05,23.93,3.99,34.48,39.69,20.57
"107",2021-04-17,24.074,32.91,22.65,8.64,29.92,18.32,24.27,24.13,4.32,35.07,40.51,20.43
"108",2021-04-18,24.407,33.06,22.31,9.04,30.18,18.58,24.31,24.7,4.72,35.85,41.32,20.39
"109",2021-04-19,24.705,33.31,22.01,9.33,30.5,18.79,24.47,24.7,5.16,36.65,42.13,20.17
"110",2021-04-20,24.996,33.59,21.79,9.56,30.83,18.92,24.68,24.66,5.62,37.44,42.87,20.19
