"","plot_date","full_avg","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021"
"1",2021-01-01,78.475,80.13,80.28,83.17,76.12,79.76,80.44,76.67,73.45,74.19,80.54,74.27
"2",2021-01-02,78.007,79.94,79.88,82.74,75.86,79.18,79.91,76,73.1,73.95,79.51,73.9
"3",2021-01-03,77.522,79.48,79.44,82.32,75.61,78.71,79.44,75.32,72.65,73.34,78.91,73.5
"4",2021-01-04,77.043,78.88,78.99,81.99,75.42,78.36,78.87,74.7,72.19,72.71,78.32,72.98
"5",2021-01-05,76.602,78.36,78.65,81.87,75.33,77.83,78.27,74.05,71.77,72.09,77.8,72.34
"6",2021-01-06,76.181,77.98,78.42,81.74,75.12,77.25,77.67,73.45,71.54,71.47,77.17,71.77
"7",2021-01-07,75.697,77.74,78.2,81.48,74.59,76.59,76.96,72.78,71.27,70.84,76.52,71.13
"8",2021-01-08,75.169,77.45,78.01,81.08,74.08,75.89,76.31,72.01,70.79,70.2,75.87,70.53
"9",2021-01-09,74.696,77.24,77.52,80.62,73.6,75.31,75.79,71.23,70.27,70.16,75.22,69.92
"10",2021-01-10,74.246,76.8,77.01,80.19,73.15,75.04,75.39,70.45,69.74,70.12,74.57,69.39
"11",2021-01-11,73.872,76.46,76.52,79.76,72.92,74.77,74.81,69.73,69.14,70.65,73.96,68.74
"12",2021-01-12,73.443,76.06,75.99,79.5,72.71,74.28,74.25,69.08,68.56,70.62,73.38,68.1
"13",2021-01-13,72.974,75.58,75.51,79.25,72.18,73.67,73.68,68.45,68.1,70.59,72.73,67.47
"14",2021-01-14,72.449,75.08,75.21,78.6,71.55,73.05,72.86,67.91,67.61,70.54,72.08,66.83
"15",2021-01-15,71.484,74.9,74.84,77.96,70.93,72.43,72.14,67.35,66.96,65.9,71.43,66.19
"16",2021-01-16,70.852,74.75,73.97,77.17,70.28,71.83,71.53,66.73,66.27,65.25,70.74,65.62
"17",2021-01-17,70.199,74.08,73.13,76.34,69.72,71.54,70.97,65.95,65.59,64.62,70.05,64.99
"18",2021-01-18,69.547,73.47,72.28,75.58,69.33,71.23,70.05,65.24,64.95,63.97,69.37,64.31
"19",2021-01-19,68.903,72.81,71.6,75.02,69.05,70.52,69.12,64.49,64.33,63.37,68.72,63.65
"20",2021-01-20,68.317,72.26,71.11,74.72,68.61,69.68,68.33,63.83,63.84,62.76,68.03,62.98
"21",2021-01-21,67.749,71.72,70.87,74.15,68.13,68.85,67.55,63.28,63.49,62.11,67.34,62.3
"22",2021-01-22,67.182,71.44,70.69,73.58,67.66,68.01,66.74,62.73,62.85,61.46,66.66,61.67
"23",2021-01-23,66.564,71.17,70.17,72.88,67.19,67.31,65.99,61.98,62.18,60.8,65.97,61.12
"24",2021-01-24,65.974,70.6,69.66,72.23,66.79,66.89,65.32,61.32,61.51,60.14,65.28,60.63
"25",2021-01-25,65.402,69.93,69.22,71.6,66.57,66.5,64.61,60.64,60.87,59.48,64.6,59.99
"26",2021-01-26,64.826,69.3,68.7,71.24,66.34,65.73,63.95,59.93,60.22,58.84,64.01,59.36
"27",2021-01-27,64.215,68.81,68.13,70.86,65.75,64.85,63.22,59.22,59.74,58.25,63.32,58.68
"28",2021-01-28,63.591,68.4,67.64,70.03,65.09,63.95,62.59,58.61,59.3,57.59,62.71,58
"29",2021-01-29,62.972,68.18,67.27,69.23,64.33,62.97,62.06,58.04,58.62,56.94,62.08,57.37
"30",2021-01-30,62.362,68.04,66.57,68.51,63.61,62.2,61.65,57.42,57.95,56.28,61.39,56.93
"31",2021-01-31,61.767,67.57,65.63,67.93,63.01,61.65,61.36,56.79,57.3,55.63,60.8,56.59
"32",2021-02-01,61.223,67.04,64.73,67.41,62.69,61.16,60.91,56.2,56.7,55.07,60.32,55.97
"33",2021-02-02,60.711,66.53,63.78,67.21,62.43,60.4,60.4,55.64,56.14,54.59,59.99,55.35
"34",2021-02-03,60.168,66.04,62.74,67.05,61.91,59.56,59.89,55.12,55.71,54.17,59.49,54.77
"35",2021-02-04,59.602,65.72,61.7,66.41,61.39,58.79,59.43,54.7,55.29,53.6,58.99,54.2
"36",2021-02-05,59.042,65.65,60.76,65.75,60.9,57.96,58.99,54.3,54.69,53.04,58.38,53.62
"37",2021-02-06,58.494,65.61,59.7,65.17,60.5,57.32,58.56,53.73,54.06,52.49,57.8,53.26
"38",2021-02-07,57.913,65.3,58.62,64.5,60.09,56.65,58.23,53.19,53.43,51.93,57.19,52.9
"39",2021-02-08,57.35,64.94,57.73,63.8,59.82,56.03,57.75,52.63,52.83,51.34,56.63,52.31
"40",2021-02-09,56.831,64.63,56.95,63.15,59.58,55.32,57.34,52.04,52.27,50.87,56.16,51.7
"41",2021-02-10,56.302,64.31,56.08,62.54,59.09,54.66,56.95,51.44,51.84,50.5,55.61,51.1
"42",2021-02-11,55.758,64.05,55.44,61.64,58.66,54,56.45,50.86,51.42,49.92,55.14,50.52
"43",2021-02-12,55.242,64.02,54.8,60.79,58.22,53.27,55.99,50.42,50.82,49.43,54.66,49.9
"44",2021-02-13,54.73,64.01,53.88,59.87,57.74,52.54,55.7,50.42,50.23,48.86,54.05,49.29
"45",2021-02-14,54.197,63.65,53.12,59.07,57.41,51.97,55.43,49.86,49.64,48.29,53.53,48.69
"46",2021-02-15,53.711,63.2,52.55,58.41,57.12,51.47,54.98,49.34,49.08,47.78,53.18,48.17
"47",2021-02-16,53.277,62.66,52.23,57.99,56.89,50.83,54.51,48.88,48.59,47.3,52.89,47.65
"48",2021-02-17,52.858,62.29,51.99,57.56,56.53,50.32,54.01,48.4,48.13,46.92,52.43,47.13
"49",2021-02-18,52.422,62.12,51.86,56.85,56.18,49.69,53.47,48.05,47.64,46.42,51.94,46.61
"50",2021-02-19,52.017,62.19,51.86,56.1,55.83,49.05,53,47.71,47.08,45.9,51.45,46.11
"51",2021-02-20,51.47,62.21,51.36,55.24,55.4,48.39,52.57,46.63,46.53,45.37,51,45.72
"52",2021-02-21,50.965,61.8,50.96,54.33,55.09,47.77,52.25,46.1,45.96,44.86,50.53,45.46
"53",2021-02-22,50.488,61.19,50.66,53.45,54.94,47.26,51.79,45.63,45.4,44.34,50.22,45
"54",2021-02-23,50.067,60.63,50.43,52.82,54.78,46.73,51.45,45.15,44.83,43.89,49.96,44.51
"55",2021-02-24,49.614,59.99,50.31,52.25,54.42,46.09,51.11,44.66,44.35,43.37,49.59,44.05
"56",2021-02-25,49.175,59.42,50.35,51.47,54.01,45.55,50.67,44.4,43.79,42.82,49.27,43.6
"57",2021-02-26,48.747,59.04,50.41,50.75,53.53,45.02,50.17,44.21,43.2,42.32,48.82,43.21
"58",2021-02-27,48.306,58.69,50.25,50.09,53.09,44.53,49.7,43.81,42.62,41.96,48.32,43.06
"59",2021-02-28,47.887,58.4,49.98,49.56,52.7,44.07,49.3,43.37,42.03,41.6,47.86,42.89
"60",2021-03-01,47.411,57.76,49.62,49.12,52.27,43.76,48.49,43.05,41.44,41.38,47.22,42.48
"61",2021-03-02,47.054,56.96,49.56,48.85,51.94,43.37,48.14,42.7,40.96,41.26,46.8,42.06
"62",2021-03-03,46.705,56.16,49.63,48.57,51.54,43.05,47.7,42.33,40.53,41.17,46.37,41.65
"63",2021-03-04,46.336,55.58,49.7,48.08,51.06,42.64,47.21,42.13,40.12,40.91,45.93,41.23
"64",2021-03-05,45.97,55.34,49.47,47.53,50.63,42.16,46.76,41.97,39.73,40.67,45.44,40.88
"65",2021-03-06,45.626,55.29,49.11,46.9,50.28,41.79,46.36,41.68,39.35,40.39,45.11,40.61
"66",2021-03-07,45.291,54.71,48.84,46.45,50.03,41.43,45.87,41.35,38.96,40.18,45.09,40.35
"67",2021-03-08,44.983,54.15,48.6,46.16,49.88,41.09,45.26,41.05,38.6,40.1,44.94,39.92
"68",2021-03-09,44.693,53.58,48.49,46.13,49.8,40.61,44.73,40.82,38.29,40.11,44.37,39.49
"69",2021-03-10,44.479,53.07,48.49,46.11,49.42,40.31,44.38,40.66,38.13,40.17,44.05,39.17
"70",2021-03-11,44.257,52.69,48.49,45.88,49.03,40,43.95,40.61,37.99,40.11,43.82,38.87
"71",2021-03-12,44.049,52.59,48.36,45.55,48.72,39.62,43.76,40.56,37.66,39.93,43.74,38.76
"72",2021-03-13,43.813,52.48,48.27,45.13,48.46,39.2,43.61,40.28,37.39,39.64,43.67,38.77
"73",2021-03-14,43.539,52.21,48.22,44.58,48.24,38.89,43.25,40.02,37.05,39.32,43.61,38.77
"74",2021-03-15,43.293,51.95,48.25,43.99,48.24,38.54,42.72,39.82,36.64,39.21,43.57,38.53
"75",2021-03-16,43.101,51.7,48.35,43.49,48.3,38.14,42.26,39.67,36.34,39.25,43.51,38.26
"76",2021-03-17,42.96,51.67,48.54,43.05,48.21,37.86,41.9,39.55,36.16,39.28,43.38,38.02
"77",2021-03-18,42.83,51.66,48.67,42.47,48.12,37.61,41.57,39.63,35.99,39.17,43.41,37.75
"78",2021-03-19,42.692,51.66,48.67,42.02,48.05,37.35,41.43,39.73,35.64,38.87,43.5,37.42
"79",2021-03-20,42.548,51.66,48.65,41.58,48.04,36.99,41.36,39.66,35.3,38.62,43.62,37.18
"80",2021-03-21,42.434,51.39,48.73,41.33,48.07,36.84,41.16,39.57,34.95,38.44,43.86,37.04
"81",2021-03-22,42.33,51.12,48.85,41.12,48.19,36.6,40.87,39.48,34.62,38.41,44.04,36.77
"82",2021-03-23,42.222,50.91,48.99,40.87,48.24,36.46,40.58,39.42,34.33,38.48,43.94,36.51
"83",2021-03-24,42.017,50.81,49.16,40.65,48,36.21,40.36,39.41,34.15,37.59,43.83,36.28
"84",2021-03-25,41.977,50.78,49.36,40.14,47.64,35.84,40.18,39.53,34.08,38.55,43.67,36.17
"85",2021-03-26,41.815,50.84,49.46,39.54,47.24,35.55,40.09,39.68,33.82,38.44,43.49,36.13
"86",2021-03-27,41.681,51.06,49.44,38.96,46.94,35.39,40.09,39.68,33.6,38.33,43.32,36.05
"87",2021-03-28,41.595,50.98,49.6,38.49,46.85,35.36,40.02,39.64,33.48,38.23,43.3,36.05
"88",2021-03-29,41.58,50.95,49.75,38.25,46.9,35.41,39.86,39.67,33.49,38.24,43.28,36.38
"89",2021-03-30,41.618,51.02,49.94,38.09,47.04,35.37,39.75,39.77,33.6,38.14,43.46,36.5
"90",2021-03-31,42.595,51.62,50.12,38.14,47.04,35.36,38.45,39.44,44.18,38.14,43.46,36.59
