"","plot_date","full_avg","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021"
"1",2021-01-01,77.05,81.13,91.47,88.83,87.93,69.58,72.71,57.66,64.14,80.96,76.09,68.92
"2",2021-01-02,76.733,80.82,91.45,88.52,87.92,69.5,72.29,56.88,63.72,80.56,75.67,68.2
"3",2021-01-03,76.407,80.42,91.42,88.24,87.83,69.33,71.79,56.04,63.3,80.22,75.48,67.44
"4",2021-01-04,76.023,79.95,91.31,87.88,87.77,69.15,71.06,55.29,62.9,79.72,75.2,66.51
"5",2021-01-05,75.616,79.49,91.12,87.53,87.71,68.76,70.42,54.4,62.41,79.44,74.88,65.7
"6",2021-01-06,75.168,79.02,90.94,87.17,87.59,68.19,69.86,53.29,61.92,79.15,74.55,64.72
"7",2021-01-07,74.731,78.66,90.84,86.77,87.59,67.7,69.29,52.4,61.24,78.64,74.18,63.73
"8",2021-01-08,74.356,78.45,90.71,86.41,87.52,67.37,68.72,51.68,60.37,78.42,73.91,62.82
"9",2021-01-09,73.948,78.26,90.46,85.94,87.46,67.21,68.28,50.89,59.39,77.96,73.63,62
"10",2021-01-10,73.51,77.93,90.19,85.32,87.35,66.99,67.91,50.18,58.59,77.33,73.31,61.25
"11",2021-01-11,73.065,77.59,89.99,84.6,87.16,66.64,67.33,49.46,57.88,77.02,72.98,60.35
"12",2021-01-12,72.674,77.22,89.85,84.14,86.99,66.33,66.86,48.76,57.09,76.86,72.64,59.58
"13",2021-01-13,72.273,76.94,89.68,83.63,86.79,66.02,66.29,47.91,56.47,76.76,72.24,58.73
"14",2021-01-14,71.701,76.63,89.54,82.97,86.59,65.45,65.63,47.18,55.79,75.28,71.95,57.88
"15",2021-01-15,71.303,76.32,89.33,82.3,86.23,64.87,65,46.46,55.02,75.83,71.67,56.93
"16",2021-01-16,70.736,76.07,88.91,81.44,86.03,64.37,64.41,45.51,54.27,75.01,71.34,55.95
"17",2021-01-17,70.093,75.75,88.33,80.53,85.83,63.95,63.72,44.31,53.41,74.05,71.05,55.08
"18",2021-01-18,69.447,75.39,87.86,79.68,85.77,63.47,62.76,43.2,52.61,73.05,70.68,54.21
"19",2021-01-19,68.798,75.08,87.36,78.94,85.72,62.85,61.83,42.13,51.81,72.03,70.23,53.5
"20",2021-01-20,68.146,74.77,87.01,78.14,85.43,62.26,61.04,41.17,50.96,70.99,69.69,53.01
"21",2021-01-21,67.521,74.3,86.94,77.28,85.19,61.6,60.31,40.33,50.23,69.88,69.15,52.41
"22",2021-01-22,66.844,73.79,86.92,76.4,84.76,60.69,59.57,39.47,49.46,68.8,68.58,51.74
"23",2021-01-23,66.111,73.49,86.82,75.49,84.22,59.78,59.13,38.43,48.92,66.73,68.1,51.2
