"","plot_date","full_avg","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021"
"1",2021-01-01,71.901,71.32,78.5,72.31,69.24,72.96,69.71,62.86,64.23,69.78,88.1,74.05
"2",2021-01-02,71.56,71,78.42,71.91,69.07,72.48,69.35,62.51,63.9,69.41,87.55,73.51
"3",2021-01-03,71.132,70.5,78.11,71.51,68.88,72.07,68.94,61.79,63.53,68.84,87.15,72.81
"4",2021-01-04,70.7,69.89,77.8,71.2,68.73,71.65,68.37,61.1,63.19,68.29,86.78,72.18
"5",2021-01-05,70.257,69.32,77.5,70.92,68.58,71.06,67.8,60.28,62.85,67.88,86.38,71.34
"6",2021-01-06,69.809,68.82,77.22,70.62,68.38,70.47,67.27,59.41,62.55,67.49,85.86,70.53
"7",2021-01-07,69.352,68.47,76.97,70.18,68.14,69.85,66.73,58.72,62.16,67,85.3,69.61
"8",2021-01-08,68.902,68.25,76.73,69.73,67.88,69.29,66.23,58.04,61.55,66.55,84.77,68.52
"9",2021-01-09,68.454,68.07,76.36,69.22,67.64,68.86,65.86,57.26,60.96,66.04,84.27,67.71
"10",2021-01-10,68.001,67.69,75.97,68.7,67.36,68.56,65.53,56.5,60.4,65.46,83.84,66.94
"11",2021-01-11,67.557,67.32,75.6,68.15,67.13,68.18,65.08,55.78,59.82,65.1,83.41,66.06
"12",2021-01-12,67.131,66.96,75.22,67.7,66.9,67.68,64.67,55.08,59.26,64.85,82.99,65.19
"13",2021-01-13,66.694,66.64,74.85,67.23,66.51,67.2,64.2,54.38,58.77,64.68,82.48,64.37
"14",2021-01-14,66.195,66.35,74.53,66.55,66.1,66.61,63.62,53.8,58.29,64.15,81.95,63.48
"15",2021-01-15,65.636,66.2,74.15,65.83,65.71,66.1,63.01,53.21,57.63,63.1,81.42,62.51
"16",2021-01-16,65.083,66.07,73.57,65.03,65.34,65.54,62.46,52.4,57,62.56,80.86,61.7
"17",2021-01-17,64.482,65.68,72.94,64.18,65,65.04,61.88,51.49,56.31,61.99,80.31,60.93
"18",2021-01-18,63.861,65.29,72.33,63.39,64.75,64.52,61.04,50.57,55.64,61.33,79.75,60.02
"19",2021-01-19,63.246,64.87,71.81,62.77,64.51,63.81,60.2,49.66,54.95,60.73,79.15,59.25
"20",2021-01-20,62.638,64.44,71.39,62.22,64.09,63.08,59.39,48.81,54.39,60.1,78.47,58.61
"21",2021-01-21,62.02,63.95,71.11,61.55,63.63,62.35,58.58,48.13,53.88,59.32,77.7,58.04
"22",2021-01-22,61.403,63.52,70.86,60.88,63.16,61.61,57.83,47.43,53.27,58.52,76.95,57.43
"23",2021-01-23,60.763,63.15,70.47,60.15,62.67,60.86,57.28,46.56,52.74,57.54,76.21,56.88
"24",2021-01-24,60.16,62.64,70.02,59.4,62.16,60.22,56.84,45.71,52.29,56.86,75.46,56.28
"25",2021-01-25,59.58,62.16,69.59,58.66,61.82,59.61,56.38,44.86,51.73,56.14,74.85,55.48
"26",2021-01-26,59.035,61.63,69.11,58.07,61.48,58.9,55.98,44.01,51.16,55.69,74.32,54.7
"27",2021-01-27,58.5,61.11,68.64,57.54,60.95,58.19,55.57,43.24,50.76,55.29,73.71,53.93
"28",2021-01-28,57.948,60.53,68.23,56.87,60.42,57.49,55.17,42.69,50.47,54.66,72.95,53.3
"29",2021-01-29,57.409,60.04,67.82,56.36,59.85,56.73,54.81,42.16,50.02,53.99,72.31,52.79
"30",2021-01-30,56.865,59.56,67.21,55.92,59.23,56,54.51,41.56,49.5,53.27,71.89,52.31
"31",2021-01-31,56.309,58.94,66.43,55.52,58.72,55.38,54.26,40.92,48.97,52.57,71.38,51.73
"32",2021-02-01,55.809,58.28,65.57,55.1,58.4,54.75,53.96,40.45,48.41,51.97,71.2,51.05
"33",2021-02-02,55.302,57.67,64.62,54.75,58.1,53.95,53.62,40.01,47.82,51.48,71,50.45
"34",2021-02-03,54.792,57.15,63.6,54.37,57.66,53.11,53.43,39.63,47.3,51.03,70.64,49.94
"35",2021-02-04,54.242,56.77,62.59,53.87,57.24,52.27,53,39.35,46.74,50.41,70.18,49.42
"36",2021-02-05,53.692,56.58,61.65,53.32,56.85,51.43,52.63,39.04,45.93,49.83,69.66,48.94
"37",2021-02-06,53.099,56.42,60.63,52.78,56.49,50.58,52.38,38.51,45.05,49.15,69,48.54
"38",2021-02-07,52.546,56.13,59.59,52.17,56.18,49.8,52.14,37.95,44.16,48.85,68.49,48.01
"39",2021-02-08,51.996,55.84,58.58,51.55,55.92,49.1,51.81,37.32,43.31,48.44,68.09,47.15
"40",2021-02-09,51.466,55.52,57.59,51,55.67,48.32,51.46,36.6,42.52,48.17,67.81,46.25
"41",2021-02-10,50.943,55.18,56.65,50.47,55.27,47.59,51.07,35.86,41.98,47.9,67.46,45.35
"42",2021-02-11,50.409,54.88,55.78,49.77,54.88,46.85,50.64,35.31,41.5,47.39,67.09,44.42
"43",2021-02-12,49.869,54.64,54.97,49.07,54.51,46.11,50.25,34.92,40.78,46.93,66.51,43.51
"44",2021-02-13,49.327,54.42,54.07,48.33,54.13,45.45,49.95,34.42,40.05,46.47,65.98,42.62
"45",2021-02-14,48.826,54.03,53.34,47.65,53.8,44.89,49.68,33.86,39.38,46.08,65.55,41.82
"46",2021-02-15,48.396,53.64,52.78,47.11,53.57,44.36,49.23,33.42,38.74,45.76,65.35,41.02
"47",2021-02-16,47.989,53.2,52.3,46.71,53.34,43.69,48.72,32.98,38.15,45.6,65.2,40.39
"48",2021-02-17,47.559,52.81,51.94,46.4,53.01,43,48.18,32.58,37.68,45.11,64.88,39.91
"49",2021-02-18,47.193,52.52,51.71,45.84,52.7,42.28,47.66,32.32,37.18,45.22,64.5,39.45
"50",2021-02-19,46.812,52.34,51.48,45.46,52.44,41.59,47.23,32.06,36.49,44.95,64.08,39.02
"51",2021-02-20,46.383,52.08,51.05,44.8,52.18,40.92,46.96,31.64,35.81,44.66,63.73,38.78
"52",2021-02-21,45.873,51.6,50.67,44.07,51.94,40.34,46.79,31.36,35.07,43.53,63.36,38.61
"53",2021-02-22,45.478,51.03,50.34,43.3,51.77,39.82,46.53,31.09,34.3,43.46,63.14,38.22
"54",2021-02-23,45.077,50.45,50.06,42.62,51.61,39.24,46.22,30.78,33.54,43.28,62.97,37.94
"55",2021-02-24,44.663,49.87,49.85,42,51.37,38.66,45.84,30.4,32.87,43.1,62.67,37.77
"56",2021-02-25,44.25,49.4,49.75,41.3,51.11,38.1,45.4,30.11,32.14,42.83,62.36,37.53
"57",2021-02-26,43.835,49.07,49.65,40.66,50.85,37.58,44.95,29.92,31.16,42.66,61.85,37.28
"58",2021-02-27,43.405,48.79,49.39,40.05,50.57,37.05,44.62,29.64,30.15,42.47,61.32,37.08
"59",2021-02-28,42.986,48.49,49.13,39.52,50.29,36.59,44.32,29.29,29.08,42.28,60.87,36.82
"60",2021-03-01,42.549,48.09,48.72,39.06,50.25,36.26,43.43,28.96,28.12,42.16,60.44,36.46
"61",2021-03-02,42.199,47.66,48.59,38.7,50.09,35.81,43.07,28.66,27.21,42.19,60.01,36.13
"62",2021-03-03,41.849,47.2,48.52,38.34,49.83,35.3,42.64,28.4,26.45,42.22,59.59,35.77
"63",2021-03-04,41.527,46.84,48.42,37.93,49.55,34.78,42.2,28.31,25.92,42.14,59.18,35.39
"64",2021-03-05,41.217,46.63,48.17,37.58,49.33,34.28,41.88,28.21,25.35,42.01,58.73,34.98
"65",2021-03-06,40.926,46.5,47.86,37.28,49.12,33.89,41.56,27.93,24.83,41.92,58.37,34.66
"66",2021-03-07,40.589,46.18,47.43,37.02,48.98,33.63,41.09,27.58,23.93,41.86,58.19,34.33
"67",2021-03-08,40.383,45.87,47.18,36.81,48.9,33.43,40.62,27.32,23.87,41.8,58.03,33.87
"68",2021-03-09,40.158,45.55,46.99,36.66,48.86,33.14,40.18,27.13,23.53,41.82,57.72,33.43
"69",2021-03-10,39.977,45.31,46.88,36.46,48.75,32.89,39.77,26.98,23.4,41.85,57.48,33.1
