"LAND","RESERVE (GWh)","/","GEM. VERBRUIK WINTERDAG (GWh)","=","AANTAL DAGEN"
"Oostenrijk",37658,"/",373.353773022343,"=",100.864120630559
"België",5811.2,"/",682.222410929952,"=",8.51804324645189
"Bulgarije",3886,"/",123.52608959843,"=",31.4589412862738
"Kroatië",3328.8,"/",114.762070447291,"=",29.0060992018166
"Tsjechië",24089.6,"/",371.226591183575,"=",64.8919031451804
"Denemarken",6673.7,"/",134.763020455918,"=",49.5217454864261
"Frankrijk",86366.6,"/",1999.63607827597,"=",43.1911591005415
"Duitsland",142286.4,"/",3605.48338768116,"=",39.4638900531755
"Hongarije",40490,"/",454.948591108092,"=",88.9990666887898
"Italië",155217.2,"/",2883.0891455314,"=",53.8371143468028
"Letland",13121.4,"/",56.2200471769324,"=",233.3936141801
"Nederland",66080.7,"/",1460.18510190217,"=",45.2550158975852
"Polen",33119.5,"/",696.783854166667,"=",47.5319567207968
"Portugal",2796.8,"/",163.720812952899,"=",17.0827395097569
"Roemenië",20362.7,"/",455.258529589372,"=",44.7277726314463
"Slowakije",21898.8,"/",216.743982865338,"=",101.035330764433
"Spanje",24150.6,"/",1105.57027475845,"=",21.844472985018
"Zweden",6.9,"/",43.7960446859903,"=",0.157548473828441
"Oekraïne",109226.7,"/",1404.57427536232,"=",77.7649868119821
"Verenigd Koninkrijk",9243.8,"/",3117.03771329365,"=",2.96557207523564
